PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240509,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,21690,1.0,개,1.0,개,N,20240524070546
20240510,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,21690,1.0,개,1.0,개,N,20240525070546
20240513,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,21600,1.0,개,1.0,개,N,20240528070601
20240514,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,21600,1.0,개,1.0,개,N,20240529070534
20240516,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,21900,1.0,개,1.0,개,N,20240531070600
20240517,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,24900,1.0,개,1.0,개,N,20240601070544
20240520,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,24900,1.0,개,1.0,개,N,20240604020620
20240521,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,24900,1.0,개,1.0,개,N,20240605070543
20240522,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,24900,1.0,개,1.0,개,N,20240606070544
20240523,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240607070559
20240524,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240608070554
20240527,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240611070557
20240528,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240612070550
20240529,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240613070605
20240530,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240614070543
20240531,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240615070558
20240603,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,28900,1.0,개,1.0,개,N,20240618070553
20240604,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,28900,1.0,개,1.0,개,N,20240619070544
20240607,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,24900,1.0,개,1.0,개,N,20240622070550
20240610,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,24900,1.0,개,1.0,개,N,20240625072132
20240611,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,24900,1.0,개,1.0,개,N,20240626070553
20240612,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,24900,1.0,개,1.0,개,N,20240627070548
20240613,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240628070549
20240614,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,19900,1.0,개,1.0,개,N,20240629070612
20240617,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240702070604
20240618,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240703070603
20240619,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240704070555
20240805,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,29900,1.0,개,1.0,개,N,20240820104627
20240806,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,29900,1.0,개,1.0,개,N,20240821114630
20240807,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,29900,1.0,개,1.0,개,N,20240822104626
20240808,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,34900,1.0,개,1.0,개,N,20240823104625
20240809,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,34900,1.0,개,1.0,개,N,20240826010152
20240820,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,37900,1.0,개,1.0,개,N,20240904024615
20240821,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,37900,1.0,개,1.0,개,N,20240905120057
20240822,391,321411,A-유통,32,강원,3214,강릉,221,수박,0,수박,1,소매,4,상품,37900,1.0,개,1.0,개,N,20240906110101
