PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240222,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240308065948
20240223,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240309065947
20240226,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240312070022
20240227,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240313065944
20240228,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240314065945
20240229,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240318011344
20240304,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240319070511
20240305,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240320070501
20240306,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240321070453
20240307,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240322070436
20240308,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240323070536
20240311,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240326070457
20240312,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240327070513
20240403,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240418070530
20240404,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240419070512
20240405,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240420070512
20240408,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240423070541
20240409,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240424070521
20240411,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240426070525
20240412,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,4000,5.0,kg,1.0,개,N,20240427070548
20240415,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,4000,5.0,kg,1.0,개,N,20240430070532
20240416,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,4000,5.0,kg,1.0,개,N,20240501070528
20240417,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240502070559
20240418,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240503070523
20240419,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240504070522
20240422,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240507070525
20240423,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240508070624
20240424,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3660,5.0,kg,1.0,개,N,20240509070535
20240425,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3660,5.0,kg,1.0,개,N,20240510070557
20240426,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3660,5.0,kg,1.0,개,N,20240511070530
20240429,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3660,5.0,kg,1.0,개,N,20240514070607
20240430,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3660,5.0,kg,1.0,개,N,20240515070520
20240502,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3660,5.0,kg,1.0,개,N,20240517070526
20240503,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3660,5.0,kg,1.0,개,N,20240518070528
20240507,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3830,5.0,kg,1.0,개,N,20240522070536
20240508,93,320001,중앙,32,강원,3211,춘천,428,망고,0,수입,1,소매,4,상품,3830,5.0,kg,1.0,개,N,20240523070554
