PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231220,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240104065906
20231221,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240105065912
20231222,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240106065856
20231226,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240110065931
20231227,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,9440,10.0,kg,10.0,개,N,20240111065935
20231228,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,9440,10.0,kg,10.0,개,N,20240112065929
20231229,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240113065914
20240102,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240117065900
20240103,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240118065914
20240104,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240119065906
20240105,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240120065927
20240108,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240123065913
20240109,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240124065912
20240110,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240125065917
20240111,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,9440,10.0,kg,10.0,개,N,20240126065910
20240115,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,9440,10.0,kg,10.0,개,N,20240130065928
20240116,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,9440,10.0,kg,10.0,개,N,20240131065939
20240117,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,9440,10.0,kg,10.0,개,N,20240201065942
20240118,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,9440,10.0,kg,10.0,개,N,20240202065931
20240119,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,9440,10.0,kg,10.0,개,N,20240203065943
20240122,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,9440,10.0,kg,10.0,개,N,20240206065935
20240123,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,9440,10.0,kg,10.0,개,N,20240207065925
20240124,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,9440,10.0,kg,10.0,개,N,20240208065918
20240125,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,9440,10.0,kg,10.0,개,N,20240209065927
20240126,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,9440,10.0,kg,10.0,개,N,20240210065928
20240129,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,9440,10.0,kg,10.0,개,N,20240213065937
20240130,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240214065934
20240131,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240215065950
20240201,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240216065942
20240202,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240217065957
20240205,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240220065942
20240206,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240221112510
20240207,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240222065940
20240208,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240223065943
20240213,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240228065936
20240214,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240229065935
20240215,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240301070020
20240216,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240302065953
20240219,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240305065952
20240220,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240306065941
20240221,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240307065956
20240222,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240308065948
20240223,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240309065947
20240226,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240312070022
20240227,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,10000,10.0,kg,10.0,개,N,20240313065944
20240228,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,11200,10.0,kg,10.0,개,N,20240314065945
20240229,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,11200,10.0,kg,10.0,개,N,20240318011344
20240304,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,11200,10.0,kg,10.0,개,N,20240319070511
20240305,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,11200,10.0,kg,10.0,개,N,20240320070501
20240306,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,11200,10.0,kg,10.0,개,N,20240321070453
20240307,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,11200,10.0,kg,10.0,개,N,20240322070436
20240308,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,11200,10.0,kg,10.0,개,N,20240323070536
20240311,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,11200,10.0,kg,10.0,개,N,20240326070457
20240312,93,320001,중앙,32,강원,3211,춘천,419,참다래,1,국산,1,소매,4,상품,11200,10.0,kg,10.0,개,N,20240327070513
20240620,93,320001,중앙,32,강원,3211,춘천,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,7730,10.0,kg,10.0,개,N,20240705070614
20240621,93,320001,중앙,32,강원,3211,춘천,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,8180,10.0,kg,10.0,개,N,20240706070547
20240624,93,320001,중앙,32,강원,3211,춘천,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,8180,10.0,kg,10.0,개,N,20240709070559
20240625,93,320001,중앙,32,강원,3211,춘천,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,8180,10.0,kg,10.0,개,N,20240710070548
20240626,93,320001,중앙,32,강원,3211,춘천,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,8180,10.0,kg,10.0,개,N,20240711070550
20240627,93,320001,중앙,32,강원,3211,춘천,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,8180,10.0,kg,10.0,개,N,20240712070604
20240628,93,320001,중앙,32,강원,3211,춘천,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,8410,10.0,kg,10.0,개,N,20240713070620
20240701,93,320001,중앙,32,강원,3211,춘천,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,8180,10.0,kg,10.0,개,N,20240716070551
20240702,93,320001,중앙,32,강원,3211,춘천,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,7930,10.0,kg,10.0,개,N,20240717070557
20240703,93,320001,중앙,32,강원,3211,춘천,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,7930,10.0,kg,10.0,개,N,20240718070551
20240704,93,320001,중앙,32,강원,3211,춘천,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,7930,10.0,kg,10.0,개,N,20240719070556
