PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240115,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2560,5.0,kg,100.0,g,N,20240130065928
20240116,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2560,5.0,kg,100.0,g,N,20240131065939
20240117,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2540,5.0,kg,100.0,g,N,20240201065942
20240118,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2370,5.0,kg,100.0,g,N,20240202065931
20240119,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2370,5.0,kg,100.0,g,N,20240203065943
20240122,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2370,5.0,kg,100.0,g,N,20240206065935
20240123,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2370,5.0,kg,100.0,g,N,20240207065925
20240124,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2370,5.0,kg,100.0,g,N,20240208065918
20240125,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2370,5.0,kg,100.0,g,N,20240209065927
20240126,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2160,5.0,kg,100.0,g,N,20240210065928
20240129,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2330,5.0,kg,100.0,g,N,20240213065937
20240130,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2330,5.0,kg,100.0,g,N,20240214065934
20240131,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2330,5.0,kg,100.0,g,N,20240215065950
20240201,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2330,5.0,kg,100.0,g,N,20240216065942
20240202,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2330,5.0,kg,100.0,g,N,20240217065957
20240205,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2330,5.0,kg,100.0,g,N,20240220065942
20240206,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2330,5.0,kg,100.0,g,N,20240221112510
20240207,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2330,5.0,kg,100.0,g,N,20240222065940
20240208,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2330,5.0,kg,100.0,g,N,20240223065943
20240213,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2330,5.0,kg,100.0,g,N,20240228065936
20240214,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2330,5.0,kg,100.0,g,N,20240229065935
20240215,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2330,5.0,kg,100.0,g,N,20240301070020
20240216,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2330,5.0,kg,100.0,g,N,20240302065953
20240219,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2330,5.0,kg,100.0,g,N,20240305065952
20240220,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2330,5.0,kg,100.0,g,N,20240306065941
20240221,93,320001,중앙,32,강원,3211,춘천,425,체리,0,수입,1,소매,4,상품,2330,5.0,kg,100.0,g,N,20240307065956
