PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241028,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241112110049
20241028,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10800,1.0,kg,1.0,kg,N,20241112110049
20241029,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10800,1.0,kg,1.0,kg,N,20241113110033
20241029,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241113110033
20241030,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241114120046
20241030,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10800,1.0,kg,1.0,kg,N,20241114120046
20241031,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241115104625
20241031,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10800,1.0,kg,1.0,kg,N,20241115104625
20241101,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241118015923
20241101,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10800,1.0,kg,1.0,kg,N,20241118015923
20241104,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9300,1.0,kg,1.0,kg,N,20241119111557
20241104,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241119111557
20241105,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9300,1.0,kg,1.0,kg,N,20241120111630
20241105,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241120111630
20241106,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241121111556
20241106,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9300,1.0,kg,1.0,kg,N,20241121111556
20241107,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241122111543
20241107,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9300,1.0,kg,1.0,kg,N,20241122111543
20241108,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241125020105
20241108,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9300,1.0,kg,1.0,kg,N,20241125020105
20241111,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241126111557
20241111,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9300,1.0,kg,1.0,kg,N,20241126111557
20241112,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9300,1.0,kg,1.0,kg,N,20241127111600
20241112,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241127111600
20241113,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241128111608
20241113,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9300,1.0,kg,1.0,kg,N,20241128111608
20241114,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241129121603
20241114,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9300,1.0,kg,1.0,kg,N,20241129121603
20241115,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241202123051
20241115,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9300,1.0,kg,1.0,kg,N,20241202123051
20241118,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241203114550
20241119,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241204124556
20241120,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241205114603
20241121,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241209063105
20241122,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241209034714
20241125,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241210024617
20241126,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241211124610
20241127,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241212114550
20241127,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20241212114550
20241128,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241213104553
20241128,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20241213104553
20241129,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241216123040
20241129,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20241216123040
20241202,90,310402,B-유통,31,경기,3111,수원,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,5820,1.0,kg,1.0,kg,N,20241217111607
20241202,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20241217111607
20241202,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241217111607
20241203,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241218121554
20241203,90,310402,B-유통,31,경기,3111,수원,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,5820,1.0,kg,1.0,kg,N,20241218121554
20241203,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20241218121554
20241204,90,310402,B-유통,31,경기,3111,수원,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,5820,1.0,kg,1.0,kg,N,20241219114626
20241204,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241219114626
20241204,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20241219114626
20241205,90,310402,B-유통,31,경기,3111,수원,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,5820,1.0,kg,1.0,kg,N,20241224020109
20241205,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241224020109
20241205,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10000,1.0,kg,1.0,kg,N,20241224020109
20241209,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241224111605
20241209,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20241224111605
20241210,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241226013055
20241210,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20241226013055
20241211,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241226111605
20241211,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20241226111605
20241212,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20241227111549
20241212,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241227111549
20241213,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241230030114
20241213,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20241230030114
20241216,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20241231114609
20241216,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,8900,1.0,kg,1.0,kg,N,20241231114609
20241217,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250102054558
20241217,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,8900,1.0,kg,1.0,kg,N,20250102054558
20241218,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250102104639
20241218,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,8900,1.0,kg,1.0,kg,N,20250102104639
20241219,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,8900,1.0,kg,1.0,kg,N,20250107010100
20241219,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250107010100
20241220,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250106041607
20241220,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,8900,1.0,kg,1.0,kg,N,20250106041607
20241223,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,8900,1.0,kg,1.0,kg,N,20250107110049
20241223,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250107110049
20241224,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250108110121
20241224,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9300,1.0,kg,1.0,kg,N,20250108110121
20241226,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250110110104
20241226,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,8600,1.0,kg,1.0,kg,N,20250110110104
20241227,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250113054627
20241227,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,8600,1.0,kg,1.0,kg,N,20250113054627
20241230,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250114110112
20241230,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9300,1.0,kg,1.0,kg,N,20250114110112
20241231,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9300,1.0,kg,1.0,kg,N,20250115110112
20241231,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250115110112
20250102,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250117103113
20250102,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9300,1.0,kg,1.0,kg,N,20250117103113
20250103,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250120124620
20250103,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20250120124620
20250106,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250121104607
20250106,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20250121104607
20250107,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250122104604
20250107,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20250122104604
20250108,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250123104622
20250108,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20250123104622
20250109,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250124104610
20250109,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20250124104610
20250110,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20250212043130
20250110,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250212043130
20250113,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20250205060121
20250113,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250205060121
20250114,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20250204061623
20250114,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250204061623
20250115,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20250131014612
20250115,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250131014612
20250116,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20250131113101
20250116,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250131113101
20250117,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20250203040118
20250117,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250203040118
20250120,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20250204113123
20250120,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250204113123
20250121,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250205114629
20250121,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20250205114629
20250122,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250206020130
20250122,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20250206020130
20250123,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250211031648
20250123,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20250211031648
20250124,750,310404,B-유통,31,경기,3138,고양,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9800,1.0,kg,1.0,kg,N,20250211070112
20250124,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20250211070112
20250131,770,310407,B-유통,31,경기,3112,성남,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,9900,1.0,kg,1.0,kg,N,20250217013122
