PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241230,90,310402,B-유통,31,경기,3111,수원,642,마른미역,0,마른미역,1,소매,4,상품,2750,1.0,kg,100.0,g,N,20250114110112
20241230,750,310404,B-유통,31,경기,3138,고양,642,마른미역,0,마른미역,1,소매,4,상품,2260,1.0,kg,100.0,g,N,20250114110112
20241230,770,310407,B-유통,31,경기,3112,성남,642,마른미역,0,마른미역,1,소매,4,상품,3670,1.0,kg,100.0,g,N,20250114110112
20241231,90,310402,B-유통,31,경기,3111,수원,642,마른미역,0,마른미역,1,소매,4,상품,2750,1.0,kg,100.0,g,N,20250115110112
20241231,750,310404,B-유통,31,경기,3138,고양,642,마른미역,0,마른미역,1,소매,4,상품,2260,1.0,kg,100.0,g,N,20250115110112
20241231,770,310407,B-유통,31,경기,3112,성남,642,마른미역,0,마른미역,1,소매,4,상품,3670,1.0,kg,100.0,g,N,20250115110112
20250102,90,310402,B-유통,31,경기,3111,수원,642,마른미역,0,마른미역,1,소매,4,상품,2750,1.0,kg,100.0,g,N,20250117103113
20250102,770,310407,B-유통,31,경기,3112,성남,642,마른미역,0,마른미역,1,소매,4,상품,3670,1.0,kg,100.0,g,N,20250117103113
20250102,750,310404,B-유통,31,경기,3138,고양,642,마른미역,0,마른미역,1,소매,4,상품,2260,1.0,kg,100.0,g,N,20250117103113
20250103,90,310402,B-유통,31,경기,3111,수원,642,마른미역,0,마른미역,1,소매,4,상품,2750,1.0,kg,100.0,g,N,20250120124620
