PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240711,770,310407,B-유통,31,경기,3112,성남,413,복숭아,1,백도,1,소매,4,상품,17900,15,kg,4.0,kg,10.0,개,Y,20240726070603
20240711,750,310404,B-유통,31,경기,3138,고양,413,복숭아,1,백도,1,소매,4,상품,17600,15,kg,4.0,kg,10.0,개,Y,20240726070603
20240712,90,310402,B-유통,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,21200,15,kg,4.0,kg,10.0,개,N,20240730040122
20240712,750,310404,B-유통,31,경기,3138,고양,413,복숭아,1,백도,1,소매,4,상품,21400,15,kg,4.0,kg,10.0,개,N,20240730040122
20240712,770,310407,B-유통,31,경기,3112,성남,413,복숭아,1,백도,1,소매,4,상품,17900,15,kg,4.0,kg,10.0,개,Y,20240730040122
20240715,750,310404,B-유통,31,경기,3138,고양,413,복숭아,1,백도,1,소매,4,상품,19900,15,kg,4.0,kg,10.0,개,N,20240730080622
20240715,770,310407,B-유통,31,경기,3112,성남,413,복숭아,1,백도,1,소매,4,상품,19800,15,kg,4.0,kg,10.0,개,Y,20240730080622
20240715,90,310402,B-유통,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,21200,15,kg,4.0,kg,10.0,개,Y,20240730080622
20240716,90,310402,B-유통,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,21200,15,kg,4.0,kg,10.0,개,Y,20240731120707
20240716,750,310404,B-유통,31,경기,3138,고양,413,복숭아,1,백도,1,소매,4,상품,19900,15,kg,4.0,kg,10.0,개,N,20240731120707
20240716,770,310407,B-유통,31,경기,3112,성남,413,복숭아,1,백도,1,소매,4,상품,14900,15,kg,4.0,kg,10.0,개,Y,20240731120707
20240717,750,310404,B-유통,31,경기,3138,고양,413,복숭아,1,백도,1,소매,4,상품,14200,15,kg,4.0,kg,10.0,개,Y,20240801120632
20240717,90,310402,B-유통,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,21200,15,kg,4.0,kg,10.0,개,Y,20240801120632
20240717,770,310407,B-유통,31,경기,3112,성남,413,복숭아,1,백도,1,소매,4,상품,14900,15,kg,4.0,kg,10.0,개,Y,20240801120632
20240718,750,310404,B-유통,31,경기,3138,고양,413,복숭아,1,백도,1,소매,4,상품,14200,15,kg,4.0,kg,10.0,개,Y,20240802120654
20240718,770,310407,B-유통,31,경기,3112,성남,413,복숭아,1,백도,1,소매,4,상품,17900,15,kg,4.0,kg,10.0,개,Y,20240802120654
20240718,90,310402,B-유통,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,19200,15,kg,4.0,kg,10.0,개,N,20240802120654
20240719,90,310402,B-유통,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,18400,15,kg,4.0,kg,10.0,개,N,20240805014641
20240719,750,310404,B-유통,31,경기,3138,고양,413,복숭아,1,백도,1,소매,4,상품,14200,15,kg,4.0,kg,10.0,개,Y,20240805014641
20240719,770,310407,B-유통,31,경기,3112,성남,413,복숭아,1,백도,1,소매,4,상품,17900,15,kg,4.0,kg,10.0,개,Y,20240805014641
