PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231219,750,310404,B-유통,31,경기,3138,고양,221,수박,0,수박,1,소매,4,상품,22500,1.0,개,1.0,개,Y,20240103065948
20231220,750,310404,B-유통,31,경기,3138,고양,221,수박,0,수박,1,소매,4,상품,22500,1.0,개,1.0,개,Y,20240104065906
20231221,750,310404,B-유통,31,경기,3138,고양,221,수박,0,수박,1,소매,4,상품,22500,1.0,개,1.0,개,Y,20240105065912
20231226,750,310404,B-유통,31,경기,3138,고양,221,수박,0,수박,1,소매,4,상품,22500,1.0,개,1.0,개,Y,20240110065931
20231227,750,310404,B-유통,31,경기,3138,고양,221,수박,0,수박,1,소매,4,상품,22500,1.0,개,1.0,개,Y,20240111065935
20231228,750,310404,B-유통,31,경기,3138,고양,221,수박,0,수박,1,소매,4,상품,22500,1.0,개,1.0,개,Y,20240112065929
20231229,750,310404,B-유통,31,경기,3138,고양,221,수박,0,수박,1,소매,4,상품,22500,1.0,개,1.0,개,Y,20240113065914
20240102,750,310404,B-유통,31,경기,3138,고양,221,수박,0,수박,1,소매,4,상품,22500,1.0,개,1.0,개,Y,20240117065900
20240103,750,310404,B-유통,31,경기,3138,고양,221,수박,0,수박,1,소매,4,상품,22500,1.0,개,1.0,개,Y,20240118065914
20240104,750,310404,B-유통,31,경기,3138,고양,221,수박,0,수박,1,소매,4,상품,22500,1.0,개,1.0,개,Y,20240119065906
20240105,750,310404,B-유통,31,경기,3138,고양,221,수박,0,수박,1,소매,4,상품,22500,1.0,개,1.0,개,Y,20240120065927
20240108,750,310404,B-유통,31,경기,3138,고양,221,수박,0,수박,1,소매,4,상품,22500,1.0,개,1.0,개,Y,20240123065913
20240109,750,310404,B-유통,31,경기,3138,고양,221,수박,0,수박,1,소매,4,상품,22500,1.0,개,1.0,개,Y,20240124065912
20240110,750,310404,B-유통,31,경기,3138,고양,221,수박,0,수박,1,소매,4,상품,22500,1.0,개,1.0,개,Y,20240125065917
20240319,90,310402,B-유통,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240403070538
20240320,90,310402,B-유통,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240404070521
20240321,90,310402,B-유통,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240405070503
20240322,90,310402,B-유통,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240406070524
20240325,90,310402,B-유통,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240409070549
20240326,90,310402,B-유통,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240410070524
20240327,90,310402,B-유통,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240411070522
20240328,90,310402,B-유통,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240412070542
20240329,90,310402,B-유통,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240413070523
20240401,90,310402,B-유통,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240416070514
20240402,90,310402,B-유통,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240417070513
20240403,90,310402,B-유통,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240418070530
20240404,90,310402,B-유통,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240419070512
20240405,90,310402,B-유통,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240420070512
20240408,90,310402,B-유통,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240423070541
20240409,90,310402,B-유통,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,36800,1.0,개,1.0,개,N,20240424070521
20240411,90,310402,B-유통,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,29900,1.0,개,1.0,개,Y,20240426070525
20240411,750,310404,B-유통,31,경기,3138,고양,221,수박,0,수박,1,소매,4,상품,28900,1.0,개,1.0,개,Y,20240426070525
20240411,770,310407,B-유통,31,경기,3112,성남,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,Y,20240426070525
20240412,90,310402,B-유통,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,28900,1.0,개,1.0,개,Y,20240427070548
20240412,750,310404,B-유통,31,경기,3138,고양,221,수박,0,수박,1,소매,4,상품,28900,1.0,개,1.0,개,Y,20240427070548
20240412,770,310407,B-유통,31,경기,3112,성남,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,Y,20240427070548
20240415,770,310407,B-유통,31,경기,3112,성남,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,Y,20240430070532
20240415,90,310402,B-유통,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,30900,1.0,개,1.0,개,Y,20240430070532
20240415,750,310404,B-유통,31,경기,3138,고양,221,수박,0,수박,1,소매,4,상품,28900,1.0,개,1.0,개,Y,20240430070532
20240416,90,310402,B-유통,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,30900,1.0,개,1.0,개,Y,20240501070528
20240416,750,310404,B-유통,31,경기,3138,고양,221,수박,0,수박,1,소매,4,상품,28900,1.0,개,1.0,개,Y,20240501070528
