PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231215,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240102062408
20231215,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,8220,10.0,kg,10.0,개,Y,20240102062408
20231218,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240102062408
20231218,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240102062408
20231219,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240103065948
20231219,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240103065948
20231219,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,8860,10.0,kg,10.0,개,Y,20240103065948
20231220,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240104065906
20231220,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240104065906
20231220,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,8860,10.0,kg,10.0,개,Y,20240104065906
20231221,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240105065912
20231221,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240105065912
20231221,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240105065912
20231222,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240106065856
20231222,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240106065856
20231222,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240106065856
20231226,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240110065931
20231226,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240110065931
20231226,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240110065931
20231227,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240111065935
20231227,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240111065935
20231227,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240111065935
20231228,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240112065929
20231228,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240112065929
20231228,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240112065929
20231229,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240113065914
20231229,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240113065914
20231229,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,11220,10.0,kg,10.0,개,Y,20240113065914
20240102,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240117065900
20240102,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240117065900
20240102,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,11220,10.0,kg,10.0,개,Y,20240117065900
20240103,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,11220,10.0,kg,10.0,개,Y,20240118065914
20240103,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240118065914
20240103,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240118065914
20240104,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240119065906
20240104,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,N,20240119065906
20240104,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240119065906
20240105,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,N,20240120065927
20240105,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240120065927
20240105,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240120065927
20240108,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240123065913
20240108,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240123065913
20240108,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,N,20240123065913
20240109,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,N,20240124065912
20240109,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240124065912
20240109,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240124065912
20240110,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240125065917
20240110,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240125065917
20240110,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,N,20240125065917
20240111,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240126065910
20240111,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240126065910
20240111,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,N,20240126065910
20240115,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,N,20240130065928
20240115,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240130065928
20240115,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,8310,10.0,kg,10.0,개,Y,20240130065928
20240116,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240131065939
20240116,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,N,20240131065939
20240116,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,8310,10.0,kg,10.0,개,Y,20240131065939
20240117,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,8310,10.0,kg,10.0,개,Y,20240201065942
20240117,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,N,20240201065942
20240117,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240201065942
20240118,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,N,20240202065931
20240118,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240202065931
20240118,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240202065931
20240119,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240203065943
20240119,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240203065943
20240119,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,N,20240203065943
20240122,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,N,20240206065935
20240122,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240206065935
20240122,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240206065935
20240123,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240207065925
20240123,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240207065925
20240123,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,N,20240207065925
20240124,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240208065918
20240124,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240208065918
20240124,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,N,20240208065918
20240125,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,N,20240209065927
20240125,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240209065927
20240125,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240209065927
20240126,750,310404,B-유통,31,경기,3138,고양,419,참다래,1,국산,1,소매,4,상품,11080,10.0,kg,10.0,개,Y,20240210065928
20240126,90,310402,B-유통,31,경기,3111,수원,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,N,20240210065928
20240126,770,310407,B-유통,31,경기,3112,성남,419,참다래,1,국산,1,소매,4,상품,9970,10.0,kg,10.0,개,Y,20240210065928
