PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231208,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231211,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231212,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231213,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231214,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231215,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231218,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,13560,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231219,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,13560,15,kg,10.0,kg,10.0,개,Y,20240103065948
20231220,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,13560,15,kg,10.0,kg,10.0,개,Y,20240104065906
20231221,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,13560,15,kg,10.0,kg,10.0,개,Y,20240105065912
20231222,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,N,20240106065856
20231226,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,N,20240110065931
20231227,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,N,20240111065935
20231228,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,N,20240112065929
20231229,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,15600,15,kg,10.0,kg,10.0,개,N,20240113065914
20240102,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,15600,15,kg,10.0,kg,10.0,개,N,20240117065900
20240103,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,15600,15,kg,10.0,kg,10.0,개,N,20240118065914
20240104,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,15600,15,kg,10.0,kg,10.0,개,N,20240119065906
20240115,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,13960,15,kg,10.0,kg,10.0,개,Y,20240130065928
20240116,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,13960,15,kg,10.0,kg,10.0,개,Y,20240131065939
20240117,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,13960,15,kg,10.0,kg,10.0,개,Y,20240201065942
20240118,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,13960,15,kg,10.0,kg,10.0,개,Y,20240202065931
20240119,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,17800,15,kg,10.0,kg,10.0,개,N,20240203065943
20240122,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,17800,15,kg,10.0,kg,10.0,개,N,20240206065935
20240123,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,17800,15,kg,10.0,kg,10.0,개,N,20240207065925
20240124,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,17800,15,kg,10.0,kg,10.0,개,N,20240208065918
20240125,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,17800,15,kg,10.0,kg,10.0,개,N,20240209065927
20240205,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240220065942
20240206,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240221112510
20240207,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240222065940
20240208,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240223065943
20240227,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,18960,15,kg,10.0,kg,10.0,개,N,20240313065944
20240228,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,18960,15,kg,10.0,kg,10.0,개,N,20240314065945
20240229,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,18960,15,kg,10.0,kg,10.0,개,N,20240318011344
20240304,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,17960,15,kg,10.0,kg,10.0,개,Y,20240319070511
20240305,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,17960,15,kg,10.0,kg,10.0,개,Y,20240320070501
20240306,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,17960,15,kg,10.0,kg,10.0,개,Y,20240321070453
20241219,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,12500,15,kg,10.0,kg,10.0,개,Y,20250107010100
20241220,769,310406,C-유통,31,경기,3145,용인,416,단감,0,단감,1,소매,4,상품,9100,15,kg,10.0,kg,10.0,개,Y,20250106041607
