PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,11220,10.0,kg,1.0,kg,N,20240102062408
20231205,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,11220,10.0,kg,1.0,kg,N,20240102062408
20231206,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,12470,10.0,kg,1.0,kg,N,20240102062408
20231207,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,12470,10.0,kg,1.0,kg,N,20240102062408
20231208,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,12470,10.0,kg,1.0,kg,N,20240102062408
20231211,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,12470,10.0,kg,1.0,kg,N,20240102062408
20231212,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,12470,10.0,kg,1.0,kg,N,20240102062408
20231213,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,12470,10.0,kg,1.0,kg,N,20240102062408
20231214,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,12470,10.0,kg,1.0,kg,N,20240102062408
20231215,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,12470,10.0,kg,1.0,kg,N,20240102062408
20231218,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,12470,10.0,kg,1.0,kg,N,20240102062408
20231219,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,12470,10.0,kg,1.0,kg,N,20240103065948
20241104,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,7980,10.0,kg,1.0,kg,Y,20241119111557
20241111,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,7980,10.0,kg,1.0,kg,Y,20241126111557
20241112,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,7980,10.0,kg,1.0,kg,Y,20241127111600
20241113,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,7980,10.0,kg,1.0,kg,Y,20241128111608
20241114,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,7980,10.0,kg,1.0,kg,Y,20241129121603
20241115,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,7980,10.0,kg,1.0,kg,Y,20241202123051
20241118,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,7980,10.0,kg,1.0,kg,Y,20241203114550
20241119,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,7980,10.0,kg,1.0,kg,Y,20241204124556
20241120,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,7980,10.0,kg,1.0,kg,Y,20241205114603
20241121,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,7980,10.0,kg,1.0,kg,Y,20241209063105
20241122,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,7980,10.0,kg,1.0,kg,Y,20241209034714
20241125,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,7980,10.0,kg,1.0,kg,Y,20241210024617
20241126,751,310405,J-유통,31,경기,3138,고양,247,생강,0,국산,1,소매,4,상품,7980,10.0,kg,1.0,kg,Y,20241211124610
