PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240402,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,3320,4.0,kg,1.0,kg,N,20240417070513
20240403,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,3320,4.0,kg,1.0,kg,N,20240418070530
20240404,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,3320,4.0,kg,1.0,kg,N,20240419070512
20240405,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,3320,4.0,kg,1.0,kg,N,20240420070512
20240408,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,3320,4.0,kg,1.0,kg,N,20240423070541
20240409,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2650,4.0,kg,1.0,kg,N,20240424070521
20240411,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2650,4.0,kg,1.0,kg,N,20240426070525
20240412,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2650,4.0,kg,1.0,kg,N,20240427070548
20240415,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2650,4.0,kg,1.0,kg,N,20240430070532
20240416,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2650,4.0,kg,1.0,kg,N,20240501070528
20240417,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2650,4.0,kg,1.0,kg,N,20240502070559
20240418,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2650,4.0,kg,1.0,kg,N,20240503070523
20240419,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2650,4.0,kg,1.0,kg,N,20240504070522
20240422,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2650,4.0,kg,1.0,kg,N,20240507070525
20240423,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2450,4.0,kg,1.0,kg,N,20240508070624
20240424,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2450,4.0,kg,1.0,kg,N,20240509070535
20240425,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2450,4.0,kg,1.0,kg,N,20240510070557
20240426,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2450,4.0,kg,1.0,kg,N,20240511070530
20240429,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2450,4.0,kg,1.0,kg,N,20240514070607
20240430,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2250,4.0,kg,1.0,kg,N,20240515070520
20240502,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2250,4.0,kg,1.0,kg,N,20240517070526
20240503,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2250,4.0,kg,1.0,kg,N,20240518070528
20240507,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2250,4.0,kg,1.0,kg,N,20240522070536
20240508,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2250,4.0,kg,1.0,kg,N,20240523070554
20240509,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2250,4.0,kg,1.0,kg,N,20240524070546
20240510,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2250,4.0,kg,1.0,kg,N,20240525070546
20240513,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2250,4.0,kg,1.0,kg,N,20240528070601
20240514,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2250,4.0,kg,1.0,kg,N,20240529070534
20240516,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2250,4.0,kg,1.0,kg,N,20240531070600
20240517,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2250,4.0,kg,1.0,kg,N,20240601070544
20240520,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2250,4.0,kg,1.0,kg,N,20240604020620
20240521,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2250,4.0,kg,1.0,kg,N,20240605070543
20240522,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2250,4.0,kg,1.0,kg,N,20240606070544
20240523,751,310405,J-유통,31,경기,3138,고양,233,열무,0,열무,1,소매,4,상품,2250,4.0,kg,1.0,kg,N,20240607070559
