PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20250122,89,310001,지동,31,경기,3111,수원,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10000,1.0,kg,1.0,kg,N,20250206020130
20250123,89,310001,지동,31,경기,3111,수원,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10000,1.0,kg,1.0,kg,N,20250211031648
20250124,89,310001,지동,31,경기,3111,수원,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10000,1.0,kg,1.0,kg,N,20250211070112
20250131,89,310001,지동,31,경기,3111,수원,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10000,1.0,kg,1.0,kg,N,20250217013122
20250203,89,310001,지동,31,경기,3111,수원,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10000,1.0,kg,1.0,kg,N,20250218103139
20250204,89,310001,지동,31,경기,3111,수원,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10000,1.0,kg,1.0,kg,N,20250219123123
20250205,89,310001,지동,31,경기,3111,수원,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10000,1.0,kg,1.0,kg,N,20250220103124
20250206,89,310001,지동,31,경기,3111,수원,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10000,1.0,kg,1.0,kg,N,20250221103144
20250207,89,310001,지동,31,경기,3111,수원,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10000,1.0,kg,1.0,kg,N,20250224014621
20250210,89,310001,지동,31,경기,3111,수원,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10000,1.0,kg,1.0,kg,N,20250225113137
20250211,89,310001,지동,31,경기,3111,수원,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10000,1.0,kg,1.0,kg,N,20250226033135
20250212,89,310001,지동,31,경기,3111,수원,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10000,1.0,kg,1.0,kg,N,20250227103149
20250213,89,310001,지동,31,경기,3111,수원,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10000,1.0,kg,1.0,kg,N,20250228103139
20250214,89,310001,지동,31,경기,3111,수원,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10000,1.0,kg,1.0,kg,N,20250304051709
20250217,89,310001,지동,31,경기,3111,수원,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10000,1.0,kg,1.0,kg,N,20250304103147
20250218,89,310001,지동,31,경기,3111,수원,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10000,1.0,kg,1.0,kg,N,20250305113145
20250219,89,310001,지동,31,경기,3111,수원,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10000,1.0,kg,1.0,kg,N,20250306113153
20250220,89,310001,지동,31,경기,3111,수원,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10000,1.0,kg,1.0,kg,N,20250307033157
20250221,89,310001,지동,31,경기,3111,수원,659,가리비,1,해만가리비(홍가리비),1,소매,4,상품,10000,1.0,kg,1.0,kg,N,20250310024653
