PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231207,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2430,2.0,kg,100.0,g,100.0,g,N,20240102062408
20231208,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2430,2.0,kg,100.0,g,100.0,g,N,20240102062408
20231211,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2300,2.0,kg,100.0,g,100.0,g,N,20240102062408
20231212,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2450,2.0,kg,100.0,g,100.0,g,N,20240102062408
20231213,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2500,2.0,kg,100.0,g,100.0,g,N,20240102062408
20231214,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2200,2.0,kg,100.0,g,100.0,g,N,20240102062408
20231215,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2200,2.0,kg,100.0,g,100.0,g,N,20240102062408
20231218,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2200,2.0,kg,100.0,g,100.0,g,N,20240102062408
20231219,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2260,2.0,kg,100.0,g,100.0,g,N,20240103065948
20231220,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2260,2.0,kg,100.0,g,100.0,g,N,20240104065906
20231221,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2260,2.0,kg,100.0,g,100.0,g,N,20240105065912
20231222,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2330,2.0,kg,100.0,g,100.0,g,N,20240106065856
20231226,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2330,2.0,kg,100.0,g,100.0,g,N,20240110065931
20231227,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2460,2.0,kg,100.0,g,100.0,g,N,20240111065935
20231228,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2460,2.0,kg,100.0,g,100.0,g,N,20240112065929
20231229,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2430,2.0,kg,100.0,g,100.0,g,N,20240113065914
20240102,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2660,2.0,kg,100.0,g,100.0,g,N,20240117065900
20240103,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2660,2.0,kg,100.0,g,100.0,g,N,20240118065914
20240104,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2200,2.0,kg,100.0,g,100.0,g,N,20240119065906
20240105,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2200,2.0,kg,100.0,g,100.0,g,N,20240120065927
20240108,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2160,2.0,kg,100.0,g,100.0,g,N,20240123065913
20240109,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2300,2.0,kg,100.0,g,100.0,g,N,20240124065912
20240110,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2300,2.0,kg,100.0,g,100.0,g,N,20240125065917
20240111,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2300,2.0,kg,100.0,g,100.0,g,N,20240126065910
20240115,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2160,2.0,kg,100.0,g,100.0,g,N,20240130065928
20240116,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2160,2.0,kg,100.0,g,100.0,g,N,20240131065939
20240117,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2160,2.0,kg,100.0,g,100.0,g,N,20240201065942
20240118,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2160,2.0,kg,100.0,g,100.0,g,N,20240202065931
20240119,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2160,2.0,kg,100.0,g,100.0,g,N,20240203065943
20240122,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2160,2.0,kg,100.0,g,100.0,g,N,20240206065935
20240123,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2160,2.0,kg,100.0,g,100.0,g,N,20240207065925
20240124,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2160,2.0,kg,100.0,g,100.0,g,N,20240208065918
20240125,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2460,2.0,kg,100.0,g,100.0,g,N,20240209065927
20240126,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2500,2.0,kg,100.0,g,100.0,g,N,20240210065928
20240129,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2500,2.0,kg,100.0,g,100.0,g,N,20240213065937
20240130,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2460,2.0,kg,100.0,g,100.0,g,N,20240214065934
20240131,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2460,2.0,kg,100.0,g,100.0,g,N,20240215065950
20240201,89,310001,지동,31,경기,3111,수원,226,딸기,0,딸기,1,소매,4,상품,2460,2.0,kg,100.0,g,100.0,g,N,20240216065942
