PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240307,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240322070436
20240308,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4000,5.0,kg,1.0,개,N,20240323070536
20240311,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4000,5.0,kg,1.0,개,N,20240326070457
20240312,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4000,5.0,kg,1.0,개,N,20240327070513
20240313,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240328070517
20240314,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240329070517
20240315,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240330070516
20240318,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240402070508
20240319,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240403070538
20240320,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,3500,5.0,kg,1.0,개,N,20240404070521
20240321,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4000,5.0,kg,1.0,개,N,20240405070503
20240322,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4300,5.0,kg,1.0,개,N,20240406070524
20240325,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4300,5.0,kg,1.0,개,N,20240409070549
20240326,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4300,5.0,kg,1.0,개,N,20240410070524
20240327,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4300,5.0,kg,1.0,개,N,20240411070522
20240328,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4300,5.0,kg,1.0,개,N,20240412070542
20240329,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4300,5.0,kg,1.0,개,N,20240413070523
20240401,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4300,5.0,kg,1.0,개,N,20240416070514
20240402,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4300,5.0,kg,1.0,개,N,20240417070513
20240403,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4300,5.0,kg,1.0,개,N,20240418070530
20240404,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4300,5.0,kg,1.0,개,N,20240419070512
20240405,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4300,5.0,kg,1.0,개,N,20240420070512
20240408,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4300,5.0,kg,1.0,개,N,20240423070541
20240409,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4300,5.0,kg,1.0,개,N,20240424070521
20240411,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4300,5.0,kg,1.0,개,N,20240426070525
20240412,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4300,5.0,kg,1.0,개,N,20240427070548
20240415,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4300,5.0,kg,1.0,개,N,20240430070532
20240416,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4300,5.0,kg,1.0,개,N,20240501070528
20240417,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4300,5.0,kg,1.0,개,N,20240502070559
20240418,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4300,5.0,kg,1.0,개,N,20240503070523
20240419,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4300,5.0,kg,1.0,개,N,20240504070522
20240422,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4300,5.0,kg,1.0,개,N,20240507070525
20240423,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4300,5.0,kg,1.0,개,N,20240508070624
20240424,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4300,5.0,kg,1.0,개,N,20240509070535
20240425,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4500,5.0,kg,1.0,개,N,20240510070557
20240426,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4500,5.0,kg,1.0,개,N,20240511070530
20240429,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4500,5.0,kg,1.0,개,N,20240514070607
20240430,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4500,5.0,kg,1.0,개,N,20240515070520
20240502,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4500,5.0,kg,1.0,개,N,20240517070526
20240503,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4500,5.0,kg,1.0,개,N,20240518070528
20240507,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4160,5.0,kg,1.0,개,N,20240522070536
20240508,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4160,5.0,kg,1.0,개,N,20240523070554
20240509,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4160,5.0,kg,1.0,개,N,20240524070546
20240510,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4160,5.0,kg,1.0,개,N,20240525070546
20240513,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4160,5.0,kg,1.0,개,N,20240528070601
20240514,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4160,5.0,kg,1.0,개,N,20240529070534
20240516,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4160,5.0,kg,1.0,개,N,20240531070600
20240517,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4160,5.0,kg,1.0,개,N,20240601070544
20240520,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4160,5.0,kg,1.0,개,N,20240604020620
20240521,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4160,5.0,kg,1.0,개,N,20240605070543
20240522,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4160,5.0,kg,1.0,개,N,20240606070544
20240523,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4160,5.0,kg,1.0,개,N,20240607070559
20240524,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4160,5.0,kg,1.0,개,N,20240608070554
20240527,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4160,5.0,kg,1.0,개,N,20240611070557
20240528,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4160,5.0,kg,1.0,개,N,20240612070550
20240529,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,4160,5.0,kg,1.0,개,N,20240613070605
20240530,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,5000,5.0,kg,1.0,개,N,20240614070543
20240531,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,5000,5.0,kg,1.0,개,N,20240615070558
20240603,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,5000,5.0,kg,1.0,개,N,20240618070553
20240604,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,5000,5.0,kg,1.0,개,N,20240619070544
20240607,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,5000,5.0,kg,1.0,개,N,20240622070550
20240610,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,5000,5.0,kg,1.0,개,N,20240625072132
20240611,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,5000,5.0,kg,1.0,개,N,20240626070553
20240612,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,5000,5.0,kg,1.0,개,N,20240627070548
20240613,89,310001,지동,31,경기,3111,수원,428,망고,0,수입,1,소매,4,상품,5000,5.0,kg,1.0,개,N,20240628070549
