PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240711,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,24300,15,kg,4.0,kg,10.0,개,N,20240726070603
20240712,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,24300,15,kg,4.0,kg,10.0,개,N,20240730040122
20240715,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,24300,15,kg,4.0,kg,10.0,개,N,20240730080622
20240716,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,24300,15,kg,4.0,kg,10.0,개,N,20240731120707
20240717,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,23000,15,kg,4.0,kg,10.0,개,N,20240801120632
20240718,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,23000,15,kg,4.0,kg,10.0,개,N,20240802120654
20240719,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,23000,15,kg,4.0,kg,10.0,개,N,20240805014641
20240722,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,23000,15,kg,4.0,kg,10.0,개,N,20240806060616
20240723,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,21400,15,kg,4.0,kg,10.0,개,N,20240807110629
20240724,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,21400,15,kg,4.0,kg,10.0,개,N,20240808120630
20240725,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,21400,15,kg,4.0,kg,10.0,개,N,20240809120625
20240726,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,19700,15,kg,4.0,kg,10.0,개,N,20240812014658
20240729,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,19700,15,kg,4.0,kg,10.0,개,N,20240813120632
20240730,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,18900,15,kg,4.0,kg,10.0,개,N,20240814120651
20240731,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,18900,15,kg,4.0,kg,10.0,개,N,20240816010622
20240801,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,21400,15,kg,4.0,kg,10.0,개,N,20240816104621
20240802,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,18400,15,kg,4.0,kg,10.0,개,N,20240820011634
20240805,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,18400,15,kg,4.0,kg,10.0,개,N,20240820104627
20240806,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,20100,15,kg,4.0,kg,10.0,개,N,20240821114630
20240807,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,20100,15,kg,4.0,kg,10.0,개,N,20240822104626
20240808,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,20100,15,kg,4.0,kg,10.0,개,N,20240823104625
20240809,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,20100,15,kg,4.0,kg,10.0,개,N,20240826010152
20240812,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,20100,15,kg,4.0,kg,10.0,개,N,20240827104705
20240813,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,19700,15,kg,4.0,kg,10.0,개,N,20240828114654
20240814,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,19700,15,kg,4.0,kg,10.0,개,N,20240829104636
20240816,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,19700,15,kg,4.0,kg,10.0,개,N,20240902123055
20240819,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,21400,15,kg,4.0,kg,10.0,개,N,20240903104602
20240820,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,20100,15,kg,4.0,kg,10.0,개,N,20240904024615
20240821,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,17300,15,kg,4.0,kg,10.0,개,N,20240905120057
20240822,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,17300,15,kg,4.0,kg,10.0,개,N,20240906110101
20240823,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,16200,15,kg,4.0,kg,10.0,개,N,20240909011534
20240826,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,18400,15,kg,4.0,kg,10.0,개,N,20240910110037
20240827,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,17300,15,kg,4.0,kg,10.0,개,N,20240911120047
20240828,89,310001,지동,31,경기,3111,수원,413,복숭아,1,백도,1,소매,4,상품,17300,15,kg,4.0,kg,10.0,개,N,20240912110028
