PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240412,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,32000,1.0,개,1.0,개,N,20240427070548
20240415,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,32000,1.0,개,1.0,개,N,20240430070532
20240416,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,31000,1.0,개,1.0,개,N,20240501070528
20240417,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,31000,1.0,개,1.0,개,N,20240502070559
20240418,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,31000,1.0,개,1.0,개,N,20240503070523
20240419,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,31000,1.0,개,1.0,개,N,20240504070522
20240422,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,31000,1.0,개,1.0,개,N,20240507070525
20240423,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,31000,1.0,개,1.0,개,N,20240508070624
20240424,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,31000,1.0,개,1.0,개,N,20240509070535
20240425,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,31000,1.0,개,1.0,개,N,20240510070557
20240426,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,31000,1.0,개,1.0,개,N,20240511070530
20240429,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,31000,1.0,개,1.0,개,N,20240514070607
20240430,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,31000,1.0,개,1.0,개,N,20240515070520
20240502,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,31000,1.0,개,1.0,개,N,20240517070526
20240503,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,29000,1.0,개,1.0,개,N,20240518070528
20240507,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,29000,1.0,개,1.0,개,N,20240522070536
20240508,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,26000,1.0,개,1.0,개,N,20240523070554
20240509,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,25300,1.0,개,1.0,개,N,20240524070546
20240510,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,25300,1.0,개,1.0,개,N,20240525070546
20240513,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,25300,1.0,개,1.0,개,N,20240528070601
20240514,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,26000,1.0,개,1.0,개,N,20240529070534
20240516,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,25300,1.0,개,1.0,개,N,20240531070600
20240517,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,25300,1.0,개,1.0,개,N,20240601070544
20240520,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,30000,1.0,개,1.0,개,N,20240604020620
20240521,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,30000,1.0,개,1.0,개,N,20240605070543
20240522,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,26500,1.0,개,1.0,개,N,20240606070544
20240523,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,26500,1.0,개,1.0,개,N,20240607070559
20240524,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,29500,1.0,개,1.0,개,N,20240608070554
20240527,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,27500,1.0,개,1.0,개,N,20240611070557
20240528,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,29000,1.0,개,1.0,개,N,20240612070550
20240529,89,310001,지동,31,경기,3111,수원,221,수박,0,수박,1,소매,4,상품,29000,1.0,개,1.0,개,N,20240613070605
