PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240628,89,310001,지동,31,경기,3111,수원,255,피망,0,청,1,소매,4,상품,660,10.0,kg,100.0,g,100.0,g,N,20240713070620
20240701,89,310001,지동,31,경기,3111,수원,255,피망,0,청,1,소매,4,상품,660,10.0,kg,100.0,g,100.0,g,N,20240716070551
20240702,89,310001,지동,31,경기,3111,수원,255,피망,0,청,1,소매,4,상품,660,10.0,kg,100.0,g,100.0,g,N,20240717070557
20240703,89,310001,지동,31,경기,3111,수원,255,피망,0,청,1,소매,4,상품,660,10.0,kg,100.0,g,100.0,g,N,20240718070551
20240704,89,310001,지동,31,경기,3111,수원,255,피망,0,청,1,소매,4,상품,660,10.0,kg,100.0,g,100.0,g,N,20240719070556
20240705,89,310001,지동,31,경기,3111,수원,255,피망,0,청,1,소매,4,상품,660,10.0,kg,100.0,g,100.0,g,N,20240720070714
20240708,89,310001,지동,31,경기,3111,수원,255,피망,0,청,1,소매,4,상품,660,10.0,kg,100.0,g,100.0,g,N,20240723120613
20240709,89,310001,지동,31,경기,3111,수원,255,피망,0,청,1,소매,4,상품,660,10.0,kg,100.0,g,100.0,g,N,20240724070649
20240710,89,310001,지동,31,경기,3111,수원,255,피망,0,청,1,소매,4,상품,660,10.0,kg,100.0,g,100.0,g,N,20240725070606
20240711,89,310001,지동,31,경기,3111,수원,255,피망,0,청,1,소매,4,상품,660,10.0,kg,100.0,g,100.0,g,N,20240726070603
20240712,89,310001,지동,31,경기,3111,수원,255,피망,0,청,1,소매,4,상품,660,10.0,kg,100.0,g,100.0,g,N,20240730040122
20240715,89,310001,지동,31,경기,3111,수원,255,피망,0,청,1,소매,4,상품,660,10.0,kg,100.0,g,100.0,g,N,20240730080622
20240716,89,310001,지동,31,경기,3111,수원,255,피망,0,청,1,소매,4,상품,660,10.0,kg,100.0,g,100.0,g,N,20240731120707
