PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,765,380403,A-유통,38,경남,3818,김해,151,고구마,0,밤,1,소매,4,상품,4660,20,kg,10.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231205,765,380403,A-유통,38,경남,3818,김해,151,고구마,0,밤,1,소매,4,상품,4660,20,kg,10.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231206,765,380403,A-유통,38,경남,3818,김해,151,고구마,0,밤,1,소매,4,상품,4660,20,kg,10.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231207,765,380403,A-유통,38,경남,3818,김해,151,고구마,0,밤,1,소매,4,상품,5990,20,kg,10.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231208,765,380403,A-유통,38,경남,3818,김해,151,고구마,0,밤,1,소매,4,상품,5990,20,kg,10.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231211,765,380403,A-유통,38,경남,3818,김해,151,고구마,0,밤,1,소매,4,상품,5990,20,kg,10.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231212,765,380403,A-유통,38,경남,3818,김해,151,고구마,0,밤,1,소매,4,상품,5990,20,kg,10.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231213,765,380403,A-유통,38,경남,3818,김해,151,고구마,0,밤,1,소매,4,상품,5990,20,kg,10.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231214,765,380403,A-유통,38,경남,3818,김해,151,고구마,0,밤,1,소매,4,상품,5660,20,kg,10.0,kg,1.0,kg,1.0,kg,N,20240102062408
20231215,765,380403,A-유통,38,경남,3818,김해,151,고구마,0,밤,1,소매,4,상품,7990,20,kg,10.0,kg,1.0,kg,1.0,kg,N,20240102062408
20231218,765,380403,A-유통,38,경남,3818,김해,151,고구마,0,밤,1,소매,4,상품,7990,20,kg,10.0,kg,1.0,kg,1.0,kg,N,20240102062408
20231219,765,380403,A-유통,38,경남,3818,김해,151,고구마,0,밤,1,소매,4,상품,7990,20,kg,10.0,kg,1.0,kg,1.0,kg,N,20240103065948
20231220,765,380403,A-유통,38,경남,3818,김해,151,고구마,0,밤,1,소매,4,상품,7990,20,kg,10.0,kg,1.0,kg,1.0,kg,N,20240104065906
20231221,765,380403,A-유통,38,경남,3818,김해,151,고구마,0,밤,1,소매,4,상품,4490,20,kg,10.0,kg,1.0,kg,1.0,kg,Y,20240105065912
20231222,765,380403,A-유통,38,경남,3818,김해,151,고구마,0,밤,1,소매,4,상품,4490,20,kg,10.0,kg,1.0,kg,1.0,kg,Y,20240106065856
20231226,765,380403,A-유통,38,경남,3818,김해,151,고구마,0,밤,1,소매,4,상품,4490,20,kg,10.0,kg,1.0,kg,1.0,kg,Y,20240110065931
20231227,765,380403,A-유통,38,경남,3818,김해,151,고구마,0,밤,1,소매,4,상품,4490,20,kg,10.0,kg,1.0,kg,1.0,kg,Y,20240111065935
20231228,765,380403,A-유통,38,경남,3818,김해,151,고구마,0,밤,1,소매,4,상품,5490,20,kg,10.0,kg,1.0,kg,1.0,kg,Y,20240112065929
20231229,765,380403,A-유통,38,경남,3818,김해,151,고구마,0,밤,1,소매,4,상품,5490,20,kg,10.0,kg,1.0,kg,1.0,kg,Y,20240113065914
20240102,765,380403,A-유통,38,경남,3818,김해,151,고구마,0,밤,1,소매,4,상품,5490,20,kg,10.0,kg,1.0,kg,1.0,kg,Y,20240117065900
20240103,765,380403,A-유통,38,경남,3818,김해,151,고구마,0,밤,1,소매,4,상품,5490,20,kg,10.0,kg,1.0,kg,1.0,kg,Y,20240118065914
20240104,765,380403,A-유통,38,경남,3818,김해,151,고구마,0,밤,1,소매,4,상품,5490,20,kg,10.0,kg,1.0,kg,1.0,kg,N,20240119065906
