PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,18990,1.0,개,1.0,개,N,20240102062408
20231205,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,18990,1.0,개,1.0,개,N,20240102062408
20231206,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,18990,1.0,개,1.0,개,N,20240102062408
20231207,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,18990,1.0,개,1.0,개,N,20240102062408
20231208,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,18990,1.0,개,1.0,개,N,20240102062408
20231211,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,18990,1.0,개,1.0,개,N,20240102062408
20231212,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,18990,1.0,개,1.0,개,N,20240102062408
20231213,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,18990,1.0,개,1.0,개,N,20240102062408
20231214,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,19990,1.0,개,1.0,개,N,20240102062408
20231215,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,19990,1.0,개,1.0,개,N,20240102062408
20231218,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,19990,1.0,개,1.0,개,N,20240102062408
20231219,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,19990,1.0,개,1.0,개,N,20240103065948
20231220,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,19990,1.0,개,1.0,개,N,20240104065906
20231221,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,19990,1.0,개,1.0,개,N,20240105065912
20231222,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,19990,1.0,개,1.0,개,N,20240106065856
20231226,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,19990,1.0,개,1.0,개,N,20240110065931
20231227,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,19990,1.0,개,1.0,개,N,20240111065935
20231228,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,20990,1.0,개,1.0,개,N,20240112065929
20231229,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,20990,1.0,개,1.0,개,N,20240113065914
20240102,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,20990,1.0,개,1.0,개,N,20240117065900
20240103,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,20990,1.0,개,1.0,개,N,20240118065914
20240104,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,21990,1.0,개,1.0,개,N,20240119065906
20240105,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,21990,1.0,개,1.0,개,N,20240120065927
20240108,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,21990,1.0,개,1.0,개,N,20240123065913
20240109,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,21990,1.0,개,1.0,개,N,20240124065912
20240110,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,21990,1.0,개,1.0,개,N,20240125065917
20240111,765,380403,A-유통,38,경남,3818,김해,221,수박,0,수박,1,소매,4,상품,23990,1.0,개,1.0,개,N,20240126065910
