PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231222,765,380403,A-유통,38,경남,3818,김해,212,양배추,0,양배추,1,소매,4,상품,3990,8.0,kg,1.0,포기,1.0,포기,N,20240106065856
20240102,765,380403,A-유통,38,경남,3818,김해,212,양배추,0,양배추,1,소매,4,상품,3990,8.0,kg,1.0,포기,1.0,포기,N,20240117065900
20240103,765,380403,A-유통,38,경남,3818,김해,212,양배추,0,양배추,1,소매,4,상품,3990,8.0,kg,1.0,포기,1.0,포기,N,20240118065914
20240402,765,380403,A-유통,38,경남,3818,김해,212,양배추,0,양배추,1,소매,4,상품,3750,8.0,kg,1.0,포기,1.0,포기,N,20240417070513
20240403,765,380403,A-유통,38,경남,3818,김해,212,양배추,0,양배추,1,소매,4,상품,3750,8.0,kg,1.0,포기,1.0,포기,N,20240418070530
20240405,765,380403,A-유통,38,경남,3818,김해,212,양배추,0,양배추,1,소매,4,상품,3690,8.0,kg,1.0,포기,1.0,포기,N,20240420070512
20240408,765,380403,A-유통,38,경남,3818,김해,212,양배추,0,양배추,1,소매,4,상품,3690,8.0,kg,1.0,포기,1.0,포기,N,20240423070541
20240409,765,380403,A-유통,38,경남,3818,김해,212,양배추,0,양배추,1,소매,4,상품,3690,8.0,kg,1.0,포기,1.0,포기,N,20240424070521
20240411,765,380403,A-유통,38,경남,3818,김해,212,양배추,0,양배추,1,소매,4,상품,3630,8.0,kg,1.0,포기,1.0,포기,Y,20240426070525
20240412,765,380403,A-유통,38,경남,3818,김해,212,양배추,0,양배추,1,소매,4,상품,3630,8.0,kg,1.0,포기,1.0,포기,Y,20240427070548
20240415,765,380403,A-유통,38,경남,3818,김해,212,양배추,0,양배추,1,소매,4,상품,3630,8.0,kg,1.0,포기,1.0,포기,Y,20240430070532
20240416,765,380403,A-유통,38,경남,3818,김해,212,양배추,0,양배추,1,소매,4,상품,3630,8.0,kg,1.0,포기,1.0,포기,Y,20240501070528
20240417,765,380403,A-유통,38,경남,3818,김해,212,양배추,0,양배추,1,소매,4,상품,3630,8.0,kg,1.0,포기,1.0,포기,Y,20240502070559
20240418,765,380403,A-유통,38,경남,3818,김해,212,양배추,0,양배추,1,소매,4,상품,3910,8.0,kg,1.0,포기,1.0,포기,Y,20240503070523
20240419,765,380403,A-유통,38,경남,3818,김해,212,양배추,0,양배추,1,소매,4,상품,3910,8.0,kg,1.0,포기,1.0,포기,Y,20240504070522
20240422,765,380403,A-유통,38,경남,3818,김해,212,양배추,0,양배추,1,소매,4,상품,3910,8.0,kg,1.0,포기,1.0,포기,Y,20240507070525
20240423,765,380403,A-유통,38,경남,3818,김해,212,양배추,0,양배추,1,소매,4,상품,3910,8.0,kg,1.0,포기,1.0,포기,Y,20240508070624
20240424,765,380403,A-유통,38,경남,3818,김해,212,양배추,0,양배추,1,소매,4,상품,3910,8.0,kg,1.0,포기,1.0,포기,Y,20240509070535
