PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,765,380403,A-유통,38,경남,3818,김해,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240102062408
20231205,765,380403,A-유통,38,경남,3818,김해,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240102062408
20231206,765,380403,A-유통,38,경남,3818,김해,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240102062408
20231207,765,380403,A-유통,38,경남,3818,김해,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240102062408
20231208,765,380403,A-유통,38,경남,3818,김해,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240102062408
20231215,765,380403,A-유통,38,경남,3818,김해,419,참다래,1,국산,1,소매,4,상품,11100,10.0,kg,10.0,개,N,20240102062408
20231218,765,380403,A-유통,38,경남,3818,김해,419,참다래,1,국산,1,소매,4,상품,11100,10.0,kg,10.0,개,N,20240102062408
20231219,765,380403,A-유통,38,경남,3818,김해,419,참다래,1,국산,1,소매,4,상품,11100,10.0,kg,10.0,개,N,20240103065948
20240104,765,380403,A-유통,38,경남,3818,김해,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240119065906
20240105,765,380403,A-유통,38,경남,3818,김해,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240120065927
20240108,765,380403,A-유통,38,경남,3818,김해,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240123065913
20240109,765,380403,A-유통,38,경남,3818,김해,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240124065912
20240110,765,380403,A-유통,38,경남,3818,김해,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240125065917
20240111,765,380403,A-유통,38,경남,3818,김해,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240126065910
20240115,765,380403,A-유통,38,경남,3818,김해,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240130065928
20240116,765,380403,A-유통,38,경남,3818,김해,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240131065939
20240117,765,380403,A-유통,38,경남,3818,김해,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240201065942
20240118,765,380403,A-유통,38,경남,3818,김해,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240202065931
