PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,N,20240102062408
20231205,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,N,20240102062408
20231206,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,N,20240102062408
20231207,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17960,15,kg,10.0,kg,10.0,개,N,20240102062408
20231208,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,11960,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231211,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,11960,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231212,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,11960,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231213,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,11960,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231214,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,11960,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231215,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,13560,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231218,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,12760,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231219,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,12760,15,kg,10.0,kg,10.0,개,Y,20240103065948
20231220,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,12760,15,kg,10.0,kg,10.0,개,Y,20240104065906
20231221,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,12760,15,kg,10.0,kg,10.0,개,Y,20240105065912
20231222,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,N,20240106065856
20231226,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,N,20240110065931
20231227,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,N,20240111065935
20231228,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,N,20240112065929
20231229,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,N,20240113065914
20240102,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,N,20240117065900
20240103,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,N,20240118065914
20240104,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,N,20240119065906
20240105,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,N,20240120065927
20240108,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,N,20240123065913
20240109,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,N,20240124065912
20240110,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,N,20240125065917
20240111,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,15960,15,kg,10.0,kg,10.0,개,N,20240126065910
20240124,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,19950,15,kg,10.0,kg,10.0,개,Y,20240208065918
20240125,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,19950,15,kg,10.0,kg,10.0,개,Y,20240209065927
20240126,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240210065928
20240129,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240213065937
20240130,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240214065934
20240131,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240215065950
20240201,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240216065942
20240202,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240217065957
20240205,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240220065942
20240206,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240221112510
20240207,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240222065940
20240208,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240223065943
20240226,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,18960,15,kg,10.0,kg,10.0,개,N,20240312070022
20240227,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,18960,15,kg,10.0,kg,10.0,개,N,20240313065944
20240228,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,18960,15,kg,10.0,kg,10.0,개,N,20240314065945
20240229,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,18960,15,kg,10.0,kg,10.0,개,N,20240318011344
20241129,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20241216123040
20241202,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20241217111607
20241203,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20241218121554
20241204,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20241219114626
20241205,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20241224020109
20241209,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20241224111605
20241210,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20241226013055
20241211,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20241226111605
20241212,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20241227111549
20241213,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,12500,15,kg,10.0,kg,10.0,개,Y,20241230030114
20241216,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,12500,15,kg,10.0,kg,10.0,개,Y,20241231114609
20241217,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,12500,15,kg,10.0,kg,10.0,개,Y,20250102054558
20241218,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,12500,15,kg,10.0,kg,10.0,개,Y,20250102104639
20241219,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,12500,15,kg,10.0,kg,10.0,개,Y,20250107010100
20241220,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20250106041607
20241223,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20250107110049
20241224,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20250108110121
20241226,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20250110110104
20250102,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,13100,15,kg,10.0,kg,10.0,개,Y,20250117103113
20250103,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,13100,15,kg,10.0,kg,10.0,개,Y,20250120124620
20250106,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,13100,15,kg,10.0,kg,10.0,개,Y,20250121104607
20250107,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,13100,15,kg,10.0,kg,10.0,개,Y,20250122104604
20250108,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,13100,15,kg,10.0,kg,10.0,개,Y,20250123104622
20250109,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,13100,15,kg,10.0,kg,10.0,개,Y,20250124104610
20250110,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20250212043130
20250113,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20250205060121
20250114,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20250204061623
20250115,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20250131014612
20250116,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20250131113101
20250117,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20250203040118
20250120,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20250204113123
20250121,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20250205114629
20250122,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20250206020130
20250123,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20250211031648
20250124,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20250211070112
20250131,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20250217013122
20250207,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,12700,15,kg,10.0,kg,10.0,개,Y,20250224014621
20250210,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,12700,15,kg,10.0,kg,10.0,개,Y,20250225113137
20250211,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,12700,15,kg,10.0,kg,10.0,개,Y,20250226033135
20250212,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,12700,15,kg,10.0,kg,10.0,개,Y,20250227103149
20250213,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,12700,15,kg,10.0,kg,10.0,개,Y,20250228103139
20250214,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20250304051709
20250217,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,13600,15,kg,10.0,kg,10.0,개,N,20250304103147
20250218,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20250305113145
20250219,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20250306113153
20250220,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17700,15,kg,10.0,kg,10.0,개,N,20250307033157
20250221,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17900,15,kg,10.0,kg,10.0,개,N,20250310024653
20250224,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17900,15,kg,10.0,kg,10.0,개,N,20250311113200
20250225,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17900,15,kg,10.0,kg,10.0,개,N,20250312113227
20250226,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17900,15,kg,10.0,kg,10.0,개,N,20250313033205
20250227,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,17900,15,kg,10.0,kg,10.0,개,N,20250314113156
20250228,306,380402,C-유통,38,경남,3814,창원,416,단감,0,단감,1,소매,4,상품,12900,15,kg,10.0,kg,10.0,개,Y,20250317123223
