PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5490,5.0,kg,1.0,개,N,20240102062408
20231205,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5490,5.0,kg,1.0,개,N,20240102062408
20231206,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5490,5.0,kg,1.0,개,N,20240102062408
20231207,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5490,5.0,kg,1.0,개,N,20240102062408
20231208,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5490,5.0,kg,1.0,개,N,20240102062408
20231211,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5490,5.0,kg,1.0,개,N,20240102062408
20231212,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5490,5.0,kg,1.0,개,N,20240102062408
20231213,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5490,5.0,kg,1.0,개,N,20240102062408
20231214,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5490,5.0,kg,1.0,개,N,20240102062408
20231215,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5990,5.0,kg,1.0,개,N,20240102062408
20231218,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5990,5.0,kg,1.0,개,N,20240102062408
20231219,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5990,5.0,kg,1.0,개,N,20240103065948
20231220,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5990,5.0,kg,1.0,개,N,20240104065906
20231221,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5990,5.0,kg,1.0,개,N,20240105065912
20231222,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5990,5.0,kg,1.0,개,N,20240106065856
20231226,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5990,5.0,kg,1.0,개,N,20240110065931
20231227,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5990,5.0,kg,1.0,개,N,20240111065935
20231228,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5990,5.0,kg,1.0,개,N,20240112065929
20240102,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,4280,5.0,kg,1.0,개,N,20240117065900
20240103,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,4280,5.0,kg,1.0,개,N,20240118065914
20240104,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,4280,5.0,kg,1.0,개,N,20240119065906
20240105,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,4280,5.0,kg,1.0,개,N,20240120065927
20240108,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5980,5.0,kg,1.0,개,N,20240123065913
20240109,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5980,5.0,kg,1.0,개,N,20240124065912
20240110,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5980,5.0,kg,1.0,개,N,20240125065917
20240111,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5980,5.0,kg,1.0,개,N,20240126065910
20240115,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5990,5.0,kg,1.0,개,N,20240130065928
20240116,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5990,5.0,kg,1.0,개,N,20240131065939
20240117,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5990,5.0,kg,1.0,개,N,20240201065942
20240118,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,5990,5.0,kg,1.0,개,N,20240202065931
20240207,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,4990,5.0,kg,1.0,개,N,20240222065940
20240208,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,4990,5.0,kg,1.0,개,N,20240223065943
20240214,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,4990,5.0,kg,1.0,개,N,20240229065935
20240215,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,4990,5.0,kg,1.0,개,N,20240301070020
20240216,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,4990,5.0,kg,1.0,개,N,20240302065953
20240219,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,4990,5.0,kg,1.0,개,N,20240305065952
20240220,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,4990,5.0,kg,1.0,개,N,20240306065941
20240221,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,4990,5.0,kg,1.0,개,N,20240307065956
20240222,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,4990,5.0,kg,1.0,개,N,20240308065948
20240223,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,1980,5.0,kg,1.0,개,Y,20240309065947
20240226,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,1980,5.0,kg,1.0,개,Y,20240312070022
20240227,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,1980,5.0,kg,1.0,개,Y,20240313065944
20240228,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,1980,5.0,kg,1.0,개,Y,20240314065945
20240229,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,1980,5.0,kg,1.0,개,Y,20240318011344
20240304,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,2980,5.0,kg,1.0,개,Y,20240319070511
20240305,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,2980,5.0,kg,1.0,개,Y,20240320070501
20240306,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,2980,5.0,kg,1.0,개,Y,20240321070453
20240307,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,2980,5.0,kg,1.0,개,Y,20240322070436
20240308,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,2580,5.0,kg,1.0,개,Y,20240323070536
20240311,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,2580,5.0,kg,1.0,개,Y,20240326070457
20240312,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,2580,5.0,kg,1.0,개,Y,20240327070513
20240313,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,2580,5.0,kg,1.0,개,Y,20240328070517
20240314,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,2580,5.0,kg,1.0,개,Y,20240329070517
20240315,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,2000,5.0,kg,1.0,개,Y,20240330070516
20240318,306,380402,C-유통,38,경남,3814,창원,428,망고,0,수입,1,소매,4,상품,2000,5.0,kg,1.0,개,Y,20240402070508
