PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,350,20.0,kg,100.0,g,100.0,g,N,20240102062408
20231205,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,350,20.0,kg,100.0,g,100.0,g,N,20240102062408
20231206,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,350,20.0,kg,100.0,g,100.0,g,N,20240102062408
20231207,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,350,20.0,kg,100.0,g,100.0,g,N,20240102062408
20231208,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,350,20.0,kg,100.0,g,100.0,g,N,20240102062408
20231211,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240102062408
20231212,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240102062408
20231213,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240102062408
20231214,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240102062408
20231215,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240102062408
20231218,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240102062408
20231219,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240103065948
20231220,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240104065906
20231221,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240105065912
20231222,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240106065856
20231226,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240110065931
20231227,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240111065935
20231228,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240112065929
20231229,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240113065914
20240102,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240117065900
20240103,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240118065914
20240104,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240119065906
20240105,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240120065927
20240108,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240123065913
20240109,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240124065912
20240110,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240125065917
20240111,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240126065910
20240115,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240130065928
20240116,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240131065939
20240117,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240201065942
20240118,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240202065931
20240119,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240203065943
20240122,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240206065935
20240123,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240207065925
20240124,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240208065918
20240125,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240209065927
20240126,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,350,20.0,kg,100.0,g,100.0,g,N,20240210065928
20240126,109,380001,상남,38,경남,3814,창원,152,감자,2,대지마,1,소매,4,상품,400,20.0,kg,100.0,g,,,N,20240210065928
20240129,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,350,20.0,kg,100.0,g,100.0,g,N,20240213065937
20240129,109,380001,상남,38,경남,3814,창원,152,감자,2,대지마,1,소매,4,상품,400,20.0,kg,100.0,g,,,N,20240213065937
20240130,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,350,20.0,kg,100.0,g,100.0,g,N,20240214065934
20240130,109,380001,상남,38,경남,3814,창원,152,감자,2,대지마,1,소매,4,상품,400,20.0,kg,100.0,g,,,N,20240214065934
20240131,109,380001,상남,38,경남,3814,창원,152,감자,2,대지마,1,소매,4,상품,400,20.0,kg,100.0,g,,,N,20240215065950
20240131,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,350,20.0,kg,100.0,g,100.0,g,N,20240215065950
20240201,109,380001,상남,38,경남,3814,창원,152,감자,2,대지마,1,소매,4,상품,400,20.0,kg,100.0,g,,,N,20240216065942
20240201,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,350,20.0,kg,100.0,g,100.0,g,N,20240216065942
20240202,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,350,20.0,kg,100.0,g,100.0,g,N,20240217065957
20240202,109,380001,상남,38,경남,3814,창원,152,감자,2,대지마,1,소매,4,상품,400,20.0,kg,100.0,g,,,N,20240217065957
20240205,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,350,20.0,kg,100.0,g,100.0,g,N,20240220065942
20240205,109,380001,상남,38,경남,3814,창원,152,감자,2,대지마,1,소매,4,상품,400,20.0,kg,100.0,g,,,N,20240220065942
20240206,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240221112510
20240206,109,380001,상남,38,경남,3814,창원,152,감자,2,대지마,1,소매,4,상품,400,20.0,kg,100.0,g,,,N,20240221112510
20240207,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240222065940
20240207,109,380001,상남,38,경남,3814,창원,152,감자,2,대지마,1,소매,4,상품,400,20.0,kg,100.0,g,,,N,20240222065940
20240208,109,380001,상남,38,경남,3814,창원,152,감자,2,대지마,1,소매,4,상품,400,20.0,kg,100.0,g,,,N,20240223065943
20240208,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240223065943
20240213,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240228065936
20240213,109,380001,상남,38,경남,3814,창원,152,감자,2,대지마,1,소매,4,상품,400,20.0,kg,100.0,g,,,N,20240228065936
20240214,109,380001,상남,38,경남,3814,창원,152,감자,1,수미(노지),1,소매,4,상품,360,20.0,kg,100.0,g,100.0,g,N,20240229065935
20240214,109,380001,상남,38,경남,3814,창원,152,감자,2,대지마,1,소매,4,상품,400,20.0,kg,100.0,g,,,N,20240229065935
