PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240326,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,35000,10.0,kg,10.0,개,10.0,개,N,20240410070524
20240327,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,35000,10.0,kg,10.0,개,10.0,개,N,20240411070522
20240328,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,35000,10.0,kg,10.0,개,10.0,개,N,20240412070542
20240329,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,35000,10.0,kg,10.0,개,10.0,개,N,20240413070523
20240401,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,35000,10.0,kg,10.0,개,10.0,개,N,20240416070514
20240402,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,37700,10.0,kg,10.0,개,10.0,개,N,20240417070513
20240403,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,37700,10.0,kg,10.0,개,10.0,개,N,20240418070530
20240404,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,37700,10.0,kg,10.0,개,10.0,개,N,20240419070512
20240405,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,37700,10.0,kg,10.0,개,10.0,개,N,20240420070512
20240408,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,37700,10.0,kg,10.0,개,10.0,개,N,20240423070541
20240409,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,37700,10.0,kg,10.0,개,10.0,개,N,20240424070521
20240411,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,37700,10.0,kg,10.0,개,10.0,개,N,20240426070525
20240412,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,37700,10.0,kg,10.0,개,10.0,개,N,20240427070548
20240415,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,35500,10.0,kg,10.0,개,10.0,개,N,20240430070532
20240416,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,35500,10.0,kg,10.0,개,10.0,개,N,20240501070528
20240417,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,35500,10.0,kg,10.0,개,10.0,개,N,20240502070559
20240418,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,35500,10.0,kg,10.0,개,10.0,개,N,20240503070523
20240419,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,35500,10.0,kg,10.0,개,10.0,개,N,20240504070522
20240422,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,35500,10.0,kg,10.0,개,10.0,개,N,20240507070525
20240423,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,37700,10.0,kg,10.0,개,10.0,개,N,20240508070624
20240424,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,37700,10.0,kg,10.0,개,10.0,개,N,20240509070535
20240425,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,37700,10.0,kg,10.0,개,10.0,개,N,20240510070557
20240426,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,37700,10.0,kg,10.0,개,10.0,개,N,20240511070530
20240429,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,37700,10.0,kg,10.0,개,10.0,개,N,20240514070607
20240430,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,37700,10.0,kg,10.0,개,10.0,개,N,20240515070520
20240502,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,37700,10.0,kg,10.0,개,10.0,개,N,20240517070526
20240503,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,31600,10.0,kg,10.0,개,10.0,개,N,20240518070528
20240507,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,25000,10.0,kg,10.0,개,10.0,개,N,20240522070536
20240508,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,21600,10.0,kg,10.0,개,10.0,개,N,20240523070554
20240509,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,21600,10.0,kg,10.0,개,10.0,개,N,20240524070546
20240510,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,21600,10.0,kg,10.0,개,10.0,개,N,20240525070546
20240513,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,21600,10.0,kg,10.0,개,10.0,개,N,20240528070601
20240514,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,21600,10.0,kg,10.0,개,10.0,개,N,20240529070534
20240516,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,21600,10.0,kg,10.0,개,10.0,개,N,20240531070600
20240517,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,21600,10.0,kg,10.0,개,10.0,개,N,20240601070544
20240520,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,21600,10.0,kg,10.0,개,10.0,개,N,20240604020620
20240521,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,21600,10.0,kg,10.0,개,10.0,개,N,20240605070543
20240522,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,21600,10.0,kg,10.0,개,10.0,개,N,20240606070544
20240523,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,21600,10.0,kg,10.0,개,10.0,개,N,20240607070559
20240524,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,20500,10.0,kg,10.0,개,10.0,개,N,20240608070554
20240527,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,20500,10.0,kg,10.0,개,10.0,개,N,20240611070557
20240528,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,20500,10.0,kg,10.0,개,10.0,개,N,20240612070550
20240529,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,20500,10.0,kg,10.0,개,10.0,개,N,20240613070605
20240530,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,18800,10.0,kg,10.0,개,10.0,개,N,20240614070543
20240531,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,18800,10.0,kg,10.0,개,10.0,개,N,20240615070558
20240603,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,18800,10.0,kg,10.0,개,10.0,개,N,20240618070553
20240604,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,18800,10.0,kg,10.0,개,10.0,개,N,20240619070544
20240607,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,18800,10.0,kg,10.0,개,10.0,개,N,20240622070550
20240610,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,18800,10.0,kg,10.0,개,10.0,개,N,20240625072132
20240611,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,18800,10.0,kg,10.0,개,10.0,개,N,20240626070553
20240612,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,18800,10.0,kg,10.0,개,10.0,개,N,20240627070548
20240613,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,18000,10.0,kg,10.0,개,10.0,개,N,20240628070549
20240614,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,18000,10.0,kg,10.0,개,10.0,개,N,20240629070612
20240617,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,18000,10.0,kg,10.0,개,10.0,개,N,20240702070604
20240618,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,18000,10.0,kg,10.0,개,10.0,개,N,20240703070603
20240619,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,18000,10.0,kg,10.0,개,10.0,개,N,20240704070555
20240620,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,18000,10.0,kg,10.0,개,10.0,개,N,20240705070614
20240621,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,18000,10.0,kg,10.0,개,10.0,개,N,20240706070547
20240624,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,18000,10.0,kg,10.0,개,10.0,개,N,20240709070559
20240625,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,16300,10.0,kg,10.0,개,10.0,개,N,20240710070548
20240626,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,16300,10.0,kg,10.0,개,10.0,개,N,20240711070550
20240627,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,15700,10.0,kg,10.0,개,10.0,개,N,20240712070604
20240628,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,15700,10.0,kg,10.0,개,10.0,개,N,20240713070620
20240701,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,14600,10.0,kg,10.0,개,10.0,개,N,20240716070551
20240702,109,380001,상남,38,경남,3814,창원,222,참외,0,참외,1,소매,4,상품,13800,10.0,kg,10.0,개,10.0,개,N,20240717070557
