PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240711,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,Y,20240726070603
20240712,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,2380,8.0,kg,1.0,포기,1.0,포기,Y,20240730040122
20240715,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,2380,8.0,kg,1.0,포기,1.0,포기,Y,20240730080622
20240716,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,2380,8.0,kg,1.0,포기,1.0,포기,Y,20240731120707
20240717,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,2380,8.0,kg,1.0,포기,1.0,포기,Y,20240801120632
20240718,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,2380,8.0,kg,1.0,포기,1.0,포기,Y,20240802120654
20240719,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20240805014641
20240722,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20240806060616
20240729,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,1980,8.0,kg,1.0,포기,1.0,포기,Y,20240813120632
20240730,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,1980,8.0,kg,1.0,포기,1.0,포기,Y,20240814120651
20240731,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,1980,8.0,kg,1.0,포기,1.0,포기,Y,20240816010622
20240801,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,1980,8.0,kg,1.0,포기,1.0,포기,Y,20240816104621
20240802,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20240820011634
20240805,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20240820104627
20240806,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20240821114630
20240807,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20240822104626
20240808,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20240823104625
20240920,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20241007011552
20240923,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20241008120111
20240924,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20241010011535
20240925,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20241010110045
20240926,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,N,20241011110038
20240927,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241014123600
20240930,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241016011602
20241002,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241017110043
20241004,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241021011538
20241007,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241023013040
20241008,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241023110036
20241010,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241025110049
20241011,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,Y,20241028010101
20241014,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,Y,20241029110052
20241015,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,Y,20241030110107
20241016,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,Y,20241031020130
20241017,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,2980,8.0,kg,1.0,포기,1.0,포기,Y,20241101110041
20241018,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241104024545
20241021,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241105110052
20241022,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241106030109
20241023,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241107110055
20241024,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241108110102
20241025,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241111090115
20241028,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241112110049
20241029,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241113110033
20241030,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241114120046
20241031,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241115104625
20241101,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241118015923
20241104,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241119111557
20241105,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241120111630
20241106,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241121111556
20241107,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,3480,8.0,kg,1.0,포기,1.0,포기,N,20241122111543
20241129,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,1990,8.0,kg,1.0,포기,1.0,포기,Y,20241216123040
20241202,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,1990,8.0,kg,1.0,포기,1.0,포기,Y,20241217111607
20241203,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,1990,8.0,kg,1.0,포기,1.0,포기,Y,20241218121554
20241204,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,1990,8.0,kg,1.0,포기,1.0,포기,Y,20241219114626
20241205,108,372401,C-유통,37,경북,3714,안동,212,양배추,0,양배추,1,소매,4,상품,1990,8.0,kg,1.0,포기,1.0,포기,Y,20241224020109
