PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,8110,1.0,kg,N,20240102062408
20231205,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,8110,1.0,kg,N,20240102062408
20231206,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,8110,1.0,kg,N,20240102062408
20231207,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,7480,1.0,kg,N,20240102062408
20231208,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,7480,1.0,kg,N,20240102062408
20231211,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,7480,1.0,kg,N,20240102062408
20231212,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,7480,1.0,kg,N,20240102062408
20231213,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,7480,1.0,kg,N,20240102062408
20241107,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,3120,1.0,kg,Y,20241122111543
20241108,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,3120,1.0,kg,Y,20241125020105
20241111,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,3120,1.0,kg,Y,20241126111557
20241112,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,3120,1.0,kg,Y,20241127111600
20241113,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,3120,1.0,kg,Y,20241128111608
20241114,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241129121603
20241115,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241202123051
20241118,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241203114550
20241119,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241204124556
20241120,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241205114603
20241121,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,4600,1.0,kg,Y,20241209063105
20241122,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,4600,1.0,kg,Y,20241209034714
20241125,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,4600,1.0,kg,Y,20241210024617
20241126,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,4600,1.0,kg,Y,20241211124610
20241127,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,4600,1.0,kg,Y,20241212114550
20241128,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,4600,1.0,kg,Y,20241213104553
20241129,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,4600,1.0,kg,Y,20241216123040
20241202,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,4600,1.0,kg,Y,20241217111607
20241203,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,4600,1.0,kg,Y,20241218121554
20241204,107,370401,E-유통,37,경북,3711,포항,216,갓,0,갓,1,소매,4,상품,4600,1.0,kg,Y,20241219114626
