PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240326,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,31970,10.0,kg,10.0,개,10.0,개,N,20240410070524
20240327,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,31970,10.0,kg,10.0,개,10.0,개,N,20240411070522
20240328,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,24750,10.0,kg,10.0,개,10.0,개,Y,20240412070542
20240329,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,31970,10.0,kg,10.0,개,10.0,개,N,20240413070523
20240401,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,31970,10.0,kg,10.0,개,10.0,개,N,20240416070514
20240402,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,31970,10.0,kg,10.0,개,10.0,개,N,20240417070513
20240403,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,31970,10.0,kg,10.0,개,10.0,개,N,20240418070530
20240404,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,34970,10.0,kg,10.0,개,10.0,개,N,20240419070512
20240405,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,34970,10.0,kg,10.0,개,10.0,개,N,20240420070512
20240408,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,34970,10.0,kg,10.0,개,10.0,개,N,20240423070541
20240409,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,34970,10.0,kg,10.0,개,10.0,개,N,20240424070521
20240411,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,34970,10.0,kg,10.0,개,10.0,개,N,20240426070525
20240412,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,34970,10.0,kg,10.0,개,10.0,개,N,20240427070548
20240415,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,34970,10.0,kg,10.0,개,10.0,개,N,20240430070532
20240416,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,34970,10.0,kg,10.0,개,10.0,개,N,20240501070528
20240417,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,34970,10.0,kg,10.0,개,10.0,개,N,20240502070559
20240418,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,31250,10.0,kg,10.0,개,10.0,개,N,20240503070523
20240419,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,31250,10.0,kg,10.0,개,10.0,개,N,20240504070522
20240422,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,31250,10.0,kg,10.0,개,10.0,개,N,20240507070525
20240423,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,31250,10.0,kg,10.0,개,10.0,개,N,20240508070624
20240424,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,32470,10.0,kg,10.0,개,10.0,개,N,20240509070535
20240425,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,36470,10.0,kg,10.0,개,10.0,개,N,20240510070557
20240426,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,36470,10.0,kg,10.0,개,10.0,개,N,20240511070530
20240429,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,36470,10.0,kg,10.0,개,10.0,개,N,20240514070607
20240430,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,36470,10.0,kg,10.0,개,10.0,개,N,20240515070520
20240502,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,32470,10.0,kg,10.0,개,10.0,개,N,20240517070526
20240503,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,32470,10.0,kg,10.0,개,10.0,개,N,20240518070528
20240507,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,32470,10.0,kg,10.0,개,10.0,개,N,20240522070536
20240508,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,32470,10.0,kg,10.0,개,10.0,개,N,20240523070554
20240509,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,27470,10.0,kg,10.0,개,10.0,개,N,20240524070546
20240510,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,27470,10.0,kg,10.0,개,10.0,개,N,20240525070546
20240513,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,27400,10.0,kg,10.0,개,10.0,개,N,20240528070601
20240514,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,27400,10.0,kg,10.0,개,10.0,개,N,20240529070534
20240516,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,32400,10.0,kg,10.0,개,10.0,개,N,20240531070600
20240517,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,32400,10.0,kg,10.0,개,10.0,개,N,20240601070544
20240520,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,32400,10.0,kg,10.0,개,10.0,개,N,20240604020620
20240521,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,32400,10.0,kg,10.0,개,10.0,개,N,20240605070543
20240522,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,32400,10.0,kg,10.0,개,10.0,개,N,20240606070544
20240523,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,24900,10.0,kg,10.0,개,10.0,개,N,20240607070559
20240524,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,24900,10.0,kg,10.0,개,10.0,개,N,20240608070554
20240527,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,24900,10.0,kg,10.0,개,10.0,개,N,20240611070557
20240528,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,24900,10.0,kg,10.0,개,10.0,개,N,20240612070550
20240529,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,24900,10.0,kg,10.0,개,10.0,개,N,20240613070605
20240530,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,24900,10.0,kg,10.0,개,10.0,개,N,20240614070543
20240531,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,24900,10.0,kg,10.0,개,10.0,개,N,20240615070558
20240603,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,24900,10.0,kg,10.0,개,10.0,개,N,20240618070553
20240604,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,24900,10.0,kg,10.0,개,10.0,개,N,20240619070544
20240607,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,22400,10.0,kg,10.0,개,10.0,개,N,20240622070550
20240610,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,22400,10.0,kg,10.0,개,10.0,개,N,20240625072132
20240611,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,22400,10.0,kg,10.0,개,10.0,개,N,20240626070553
20240612,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,22400,10.0,kg,10.0,개,10.0,개,N,20240627070548
20240613,107,370401,E-유통,37,경북,3711,포항,222,참외,0,참외,1,소매,4,상품,22400,10.0,kg,10.0,개,10.0,개,N,20240628070549
