PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240221,107,370401,E-유통,37,경북,3711,포항,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240307065956
20240222,107,370401,E-유통,37,경북,3711,포항,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240308065948
20240223,107,370401,E-유통,37,경북,3711,포항,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240309065947
20240226,107,370401,E-유통,37,경북,3711,포항,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240312070022
20240227,107,370401,E-유통,37,경북,3711,포항,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240313065944
20240228,107,370401,E-유통,37,경북,3711,포항,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240314065945
20240229,107,370401,E-유통,37,경북,3711,포항,420,파인애플,2,수입,1,소매,4,상품,7990,12.0,kg,1.0,개,N,20240318011344
20240304,107,370401,E-유통,37,경북,3711,포항,420,파인애플,2,수입,1,소매,4,상품,7990,12.0,kg,1.0,개,N,20240319070511
20240305,107,370401,E-유통,37,경북,3711,포항,420,파인애플,2,수입,1,소매,4,상품,7990,12.0,kg,1.0,개,N,20240320070501
20240306,107,370401,E-유통,37,경북,3711,포항,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240321070453
20240307,107,370401,E-유통,37,경북,3711,포항,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240322070436
20240308,107,370401,E-유통,37,경북,3711,포항,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240323070536
20240311,107,370401,E-유통,37,경북,3711,포항,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240326070457
20240312,107,370401,E-유통,37,경북,3711,포항,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240327070513
20240313,107,370401,E-유통,37,경북,3711,포항,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240328070517
20240314,107,370401,E-유통,37,경북,3711,포항,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240329070517
20240315,107,370401,E-유통,37,경북,3711,포항,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240330070516
20240417,107,370401,E-유통,37,경북,3711,포항,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240502070559
20240418,107,370401,E-유통,37,경북,3711,포항,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240503070523
20240419,107,370401,E-유통,37,경북,3711,포항,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240504070522
