PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,6360,1.0,kg,N,20240102062408
20231205,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,6360,1.0,kg,N,20240102062408
20231206,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,7240,1.0,kg,N,20240102062408
20231207,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,7890,1.0,kg,N,20240102062408
20231208,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,7890,1.0,kg,N,20240102062408
20231211,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,8060,1.0,kg,N,20240102062408
20231212,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,8060,1.0,kg,N,20240102062408
20231213,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,8060,1.0,kg,N,20240102062408
20231214,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,8060,1.0,kg,N,20240102062408
20231215,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,9190,1.0,kg,N,20240102062408
20231218,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,9190,1.0,kg,N,20240102062408
20231219,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,5500,1.0,kg,N,20240103065948
20231220,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,5500,1.0,kg,N,20240104065906
20231221,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,5500,1.0,kg,N,20240105065912
20231222,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,5660,1.0,kg,N,20240106065856
20231226,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,5660,1.0,kg,N,20240110065931
20241025,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,5000,1.0,kg,N,20241111090115
20241028,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,5000,1.0,kg,N,20241112110049
20241029,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,5000,1.0,kg,N,20241113110033
20241030,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,5000,1.0,kg,N,20241114120046
20241031,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,5000,1.0,kg,N,20241115104625
20241101,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,5000,1.0,kg,N,20241118015923
20241104,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,5000,1.0,kg,N,20241119111557
20241107,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,5000,1.0,kg,N,20241122111543
20241108,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,5000,1.0,kg,N,20241125020105
20241111,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,4280,1.0,kg,N,20241126111557
20241112,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,4280,1.0,kg,N,20241127111600
20241113,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,4280,1.0,kg,N,20241128111608
20241114,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,4280,1.0,kg,N,20241129121603
20241115,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,5000,1.0,kg,N,20241202123051
20241118,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,5500,1.0,kg,N,20241203114550
20241119,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,6000,1.0,kg,N,20241204124556
20241120,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,6000,1.0,kg,N,20241205114603
20241121,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,6000,1.0,kg,N,20241209063105
20241122,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,5500,1.0,kg,N,20241209034714
20241125,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,4550,1.0,kg,N,20241210024617
20241126,289,370001,Á×µµ,37,°æºÏ,3711,Æ÷Ç×,216,°«,0,°«,1,¼Ò¸Å,4,»óÇ°,3550,1.0,kg,N,20241211124610
