PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,73,240401,A-유통,24,광주,2401,광주,211,배추,3,가을,1,소매,4,상품,2660,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240102062408
20231205,73,240401,A-유통,24,광주,2401,광주,211,배추,3,가을,1,소매,4,상품,3990,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240102062408
20231206,73,240401,A-유통,24,광주,2401,광주,211,배추,3,가을,1,소매,4,상품,3990,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240102062408
20231207,73,240401,A-유통,24,광주,2401,광주,211,배추,3,가을,1,소매,4,상품,3990,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240102062408
20231208,73,240401,A-유통,24,광주,2401,광주,211,배추,3,가을,1,소매,4,상품,3990,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240102062408
20231211,73,240401,A-유통,24,광주,2401,광주,211,배추,3,가을,1,소매,4,상품,3990,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240102062408
20231212,73,240401,A-유통,24,광주,2401,광주,211,배추,3,가을,1,소매,4,상품,3990,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240102062408
20231213,73,240401,A-유통,24,광주,2401,광주,211,배추,3,가을,1,소매,4,상품,3990,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240102062408
20231214,73,240401,A-유통,24,광주,2401,광주,211,배추,3,가을,1,소매,4,상품,3990,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240102062408
20231215,73,240401,A-유통,24,광주,2401,광주,211,배추,6,월동,1,소매,4,상품,2990,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240102062408
20231218,73,240401,A-유통,24,광주,2401,광주,211,배추,6,월동,1,소매,4,상품,2990,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240102062408
