PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241031,73,240401,A-유통,24,광주,2401,광주,266,절임배추,3,가을,1,소매,4,상품,54900,20.0,kg,N,20241115104625
20241101,73,240401,A-유통,24,광주,2401,광주,266,절임배추,3,가을,1,소매,4,상품,54900,20.0,kg,N,20241118015923
20241104,73,240401,A-유통,24,광주,2401,광주,266,절임배추,3,가을,1,소매,4,상품,54900,20.0,kg,N,20241119111557
20241105,73,240401,A-유통,24,광주,2401,광주,266,절임배추,3,가을,1,소매,4,상품,54900,20.0,kg,N,20241120111630
20241106,73,240401,A-유통,24,광주,2401,광주,266,절임배추,3,가을,1,소매,4,상품,54900,20.0,kg,N,20241121111556
20241107,73,240401,A-유통,24,광주,2401,광주,266,절임배추,3,가을,1,소매,4,상품,54900,20.0,kg,N,20241122111543
20241108,73,240401,A-유통,24,광주,2401,광주,266,절임배추,3,가을,1,소매,4,상품,54900,20.0,kg,N,20241125020105
20241111,73,240401,A-유통,24,광주,2401,광주,266,절임배추,3,가을,1,소매,4,상품,54900,20.0,kg,N,20241126111557
20241112,73,240401,A-유통,24,광주,2401,광주,266,절임배추,3,가을,1,소매,4,상품,54900,20.0,kg,N,20241127111600
20241113,73,240401,A-유통,24,광주,2401,광주,266,절임배추,3,가을,1,소매,4,상품,54900,20.0,kg,N,20241128111608
20241114,73,240401,A-유통,24,광주,2401,광주,266,절임배추,3,가을,1,소매,4,상품,59900,20.0,kg,N,20241129121603
20241115,73,240401,A-유통,24,광주,2401,광주,266,절임배추,3,가을,1,소매,4,상품,59900,20.0,kg,N,20241202123051
20241118,73,240401,A-유통,24,광주,2401,광주,266,절임배추,3,가을,1,소매,4,상품,59900,20.0,kg,N,20241203114550
20241119,73,240401,A-유통,24,광주,2401,광주,266,절임배추,3,가을,1,소매,4,상품,59900,20.0,kg,N,20241204124556
20241120,73,240401,A-유통,24,광주,2401,광주,266,절임배추,3,가을,1,소매,4,상품,59900,20.0,kg,N,20241205114603
