PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231215,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,11100,10.0,kg,10.0,개,Y,20240102062408
20231218,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,11100,10.0,kg,10.0,개,Y,20240102062408
20231219,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,11100,10.0,kg,10.0,개,Y,20240103065948
20231220,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,11100,10.0,kg,10.0,개,Y,20240104065906
20231221,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,12990,10.0,kg,10.0,개,N,20240105065912
20231222,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,12990,10.0,kg,10.0,개,N,20240106065856
20231226,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,12990,10.0,kg,10.0,개,N,20240110065931
20231227,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,12990,10.0,kg,10.0,개,N,20240111065935
20231228,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240112065929
20231229,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240113065914
20240102,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240117065900
20240103,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240118065914
20240104,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240119065906
20240105,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240120065927
20240108,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240123065913
20240109,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240124065912
20240110,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240125065917
20240111,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240126065910
20240115,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240130065928
20240116,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240131065939
20240117,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240201065942
20240118,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240202065931
20240119,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240203065943
20240122,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240206065935
20240123,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240207065925
20240124,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240208065918
20240125,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240209065927
20240126,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240210065928
20240129,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240213065937
20240130,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240214065934
20240131,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240215065950
20240201,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240216065942
20240202,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240217065957
20240801,73,240401,A-유통,24,광주,2401,광주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,11900,10.0,kg,10.0,개,N,20240816104621
20240802,73,240401,A-유통,24,광주,2401,광주,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,11900,10.0,kg,10.0,개,N,20240820011634
20250102,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,12400,10.0,kg,10.0,개,N,20250117103113
20250103,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,12400,10.0,kg,10.0,개,N,20250120124620
20250106,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,12400,10.0,kg,10.0,개,N,20250121104607
20250107,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,12400,10.0,kg,10.0,개,N,20250122104604
20250108,73,240401,A-유통,24,광주,2401,광주,419,참다래,1,국산,1,소매,4,상품,12400,10.0,kg,10.0,개,N,20250123104622
