PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,74,240402,E-蜡烹,24,堡林,2401,堡林,216,矮,0,矮,1,家概,4,惑前,8110,1.0,kg,N,20240102062408
20231205,74,240402,E-蜡烹,24,堡林,2401,堡林,216,矮,0,矮,1,家概,4,惑前,8110,1.0,kg,N,20240102062408
20231206,74,240402,E-蜡烹,24,堡林,2401,堡林,216,矮,0,矮,1,家概,4,惑前,8110,1.0,kg,N,20240102062408
20241107,74,240402,E-蜡烹,24,堡林,2401,堡林,216,矮,0,矮,1,家概,4,惑前,2930,1.0,kg,Y,20241122111543
20241108,74,240402,E-蜡烹,24,堡林,2401,堡林,216,矮,0,矮,1,家概,4,惑前,2930,1.0,kg,Y,20241125020105
20241111,74,240402,E-蜡烹,24,堡林,2401,堡林,216,矮,0,矮,1,家概,4,惑前,2930,1.0,kg,Y,20241126111557
20241112,74,240402,E-蜡烹,24,堡林,2401,堡林,216,矮,0,矮,1,家概,4,惑前,2930,1.0,kg,Y,20241127111600
20241113,74,240402,E-蜡烹,24,堡林,2401,堡林,216,矮,0,矮,1,家概,4,惑前,2930,1.0,kg,Y,20241128111608
20241114,74,240402,E-蜡烹,24,堡林,2401,堡林,216,矮,0,矮,1,家概,4,惑前,2990,1.0,kg,Y,20241129121603
20241115,74,240402,E-蜡烹,24,堡林,2401,堡林,216,矮,0,矮,1,家概,4,惑前,2990,1.0,kg,Y,20241202123051
20241118,74,240402,E-蜡烹,24,堡林,2401,堡林,216,矮,0,矮,1,家概,4,惑前,2990,1.0,kg,Y,20241203114550
20241119,74,240402,E-蜡烹,24,堡林,2401,堡林,216,矮,0,矮,1,家概,4,惑前,2990,1.0,kg,Y,20241204124556
20241120,74,240402,E-蜡烹,24,堡林,2401,堡林,216,矮,0,矮,1,家概,4,惑前,2990,1.0,kg,Y,20241205114603
20241121,74,240402,E-蜡烹,24,堡林,2401,堡林,216,矮,0,矮,1,家概,4,惑前,4600,1.0,kg,Y,20241209063105
20241122,74,240402,E-蜡烹,24,堡林,2401,堡林,216,矮,0,矮,1,家概,4,惑前,4600,1.0,kg,Y,20241209034714
20241125,74,240402,E-蜡烹,24,堡林,2401,堡林,216,矮,0,矮,1,家概,4,惑前,4270,1.0,kg,Y,20241210024617
20241126,74,240402,E-蜡烹,24,堡林,2401,堡林,216,矮,0,矮,1,家概,4,惑前,4270,1.0,kg,Y,20241211124610
20241127,74,240402,E-蜡烹,24,堡林,2401,堡林,216,矮,0,矮,1,家概,4,惑前,4270,1.0,kg,Y,20241212114550
20241128,74,240402,E-蜡烹,24,堡林,2401,堡林,216,矮,0,矮,1,家概,4,惑前,4270,1.0,kg,Y,20241213104553
20241129,74,240402,E-蜡烹,24,堡林,2401,堡林,216,矮,0,矮,1,家概,4,惑前,4270,1.0,kg,Y,20241216123040
20241202,74,240402,E-蜡烹,24,堡林,2401,堡林,216,矮,0,矮,1,家概,4,惑前,4270,1.0,kg,Y,20241217111607
20241203,74,240402,E-蜡烹,24,堡林,2401,堡林,216,矮,0,矮,1,家概,4,惑前,4270,1.0,kg,Y,20241218121554
20241204,74,240402,E-蜡烹,24,堡林,2401,堡林,216,矮,0,矮,1,家概,4,惑前,4270,1.0,kg,Y,20241219114626
