PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240812,74,240402,E-유통,24,광주,2401,광주,241,건고추,1,햇산화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,Y,20240827104705
20240813,74,240402,E-유통,24,광주,2401,광주,241,건고추,1,햇산화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,Y,20240828114654
20240814,74,240402,E-유통,24,광주,2401,광주,241,건고추,1,햇산화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,Y,20240829104636
20240819,74,240402,E-유통,24,광주,2401,광주,241,건고추,1,햇산화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20240903104602
20240820,74,240402,E-유통,24,광주,2401,광주,241,건고추,1,햇산화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20240904024615
20240821,74,240402,E-유통,24,광주,2401,광주,241,건고추,1,햇산화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20240905120057
20240822,74,240402,E-유통,24,광주,2401,광주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20240906110101
20240823,74,240402,E-유통,24,광주,2401,광주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20240909011534
20240826,74,240402,E-유통,24,광주,2401,광주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20240910110037
20240827,74,240402,E-유통,24,광주,2401,광주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20240911120047
20240828,74,240402,E-유통,24,광주,2401,광주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20240912110028
20240829,74,240402,E-유통,24,광주,2401,광주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20240913110049
20240830,74,240402,E-유통,24,광주,2401,광주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20240919103028
20240902,74,240402,E-유통,24,광주,2401,광주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20240919073113
20240903,74,240402,E-유통,24,광주,2401,광주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20240919100018
20240904,74,240402,E-유통,24,광주,2401,광주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20240920121525
20240905,74,240402,E-유통,24,광주,2401,광주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20240920110108
20240906,74,240402,E-유통,24,광주,2401,광주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20240924020040
20240909,74,240402,E-유통,24,광주,2401,광주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20240924110028
20240910,74,240402,E-유통,24,광주,2401,광주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20240925110046
20240911,74,240402,E-유통,24,광주,2401,광주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20240926120046
20240912,74,240402,E-유통,24,광주,2401,광주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20240927120023
20240913,74,240402,E-유통,24,광주,2401,광주,241,건고추,0,화건,1,소매,4,상품,15600,600,g,30.0,kg,600.0,g,N,20240930011540
