PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,27720,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231205,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,27720,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231206,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,27720,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231207,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,27860,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231208,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,27860,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231211,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,27860,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231212,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,27860,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231213,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,27860,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231214,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,25420,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231215,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,25420,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231218,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,25420,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231219,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,25420,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240103065948
20231220,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,25420,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240104065906
20231221,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,25840,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240105065912
20231222,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,25420,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240106065856
20231226,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,25420,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240110065931
20231227,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,25420,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240111065935
20231228,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,29900,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240112065929
20231229,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,29900,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240113065914
20240102,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,29900,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240117065900
20240103,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,29900,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240118065914
20240104,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,26910,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240119065906
20240105,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,26910,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240120065927
20240108,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,26910,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240123065913
20240109,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,26910,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240124065912
20240110,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,26910,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240125065917
20240111,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,22400,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240126065910
20240115,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,22400,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240130065928
20240116,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,22400,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240131065939
20240117,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,22400,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240201065942
20240118,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,25570,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240202065931
20240119,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,25570,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240203065943
20240122,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,25570,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240206065935
20240123,74,240402,E-¿Ø≈Î,24,±§¡÷,2401,±§¡÷,644,±º,0,±º,1,º“∏≈,4,ªÛ«∞,25570,1,kg,1.0,kg,1.0,kg,1.0,kg,Y,20240207065925
