PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240418,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,27990,1.0,개,1.0,개,Y,20240503070523
20240419,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,27990,1.0,개,1.0,개,Y,20240504070522
20240422,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,27990,1.0,개,1.0,개,Y,20240507070525
20240423,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,27990,1.0,개,1.0,개,Y,20240508070624
20240424,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,27990,1.0,개,1.0,개,Y,20240509070535
20240425,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,28990,1.0,개,1.0,개,N,20240510070557
20240426,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,28990,1.0,개,1.0,개,N,20240511070530
20240429,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,28990,1.0,개,1.0,개,N,20240514070607
20240430,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,28990,1.0,개,1.0,개,N,20240515070520
20240502,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,24990,1.0,개,1.0,개,Y,20240517070526
20240503,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,24990,1.0,개,1.0,개,Y,20240518070528
20240507,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,23990,1.0,개,1.0,개,Y,20240522070536
20240508,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,23990,1.0,개,1.0,개,Y,20240523070554
20240509,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,18990,1.0,개,1.0,개,N,20240524070546
20240510,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,19990,1.0,개,1.0,개,N,20240525070546
20240513,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,20900,1.0,개,1.0,개,N,20240528070601
20240514,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,20900,1.0,개,1.0,개,N,20240529070534
20240516,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,18400,1.0,개,1.0,개,G,20240531070600
20240517,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,20400,1.0,개,1.0,개,G,20240601070544
20240520,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,19400,1.0,개,1.0,개,Y,20240604020620
20240521,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,19400,1.0,개,1.0,개,Y,20240605070543
20240522,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,19400,1.0,개,1.0,개,Y,20240606070544
20240523,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,21900,1.0,개,1.0,개,Y,20240607070559
20240530,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,22900,1.0,개,1.0,개,Y,20240614070543
20240531,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,22900,1.0,개,1.0,개,Y,20240615070558
20240603,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,22900,1.0,개,1.0,개,Y,20240618070553
20240604,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,22900,1.0,개,1.0,개,Y,20240619070544
20240607,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,20900,1.0,개,1.0,개,Y,20240622070550
20240610,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,22900,1.0,개,1.0,개,Y,20240625072132
20240611,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,20900,1.0,개,1.0,개,Y,20240626070553
20240612,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,20900,1.0,개,1.0,개,Y,20240627070548
20240613,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,18900,1.0,개,1.0,개,Y,20240628070549
20240614,74,240402,E-유통,24,광주,2401,광주,221,수박,0,수박,1,소매,4,상품,18900,1.0,개,1.0,개,Y,20240629070612
