PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231219,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,107000,5.0,kg,100.0,g,N,20240103065948
20231220,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,106000,5.0,kg,100.0,g,N,20240104065906
20231221,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,102000,5.0,kg,100.0,g,N,20240105065912
20231222,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,102000,5.0,kg,100.0,g,N,20240106065856
20231226,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,102000,5.0,kg,100.0,g,N,20240110065931
20231227,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,113000,5.0,kg,100.0,g,N,20240111065935
20231228,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,113000,5.0,kg,100.0,g,N,20240112065929
20231229,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,113000,5.0,kg,100.0,g,N,20240113065914
20240102,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,113000,5.0,kg,100.0,g,N,20240117065900
20240103,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,113000,5.0,kg,100.0,g,N,20240118065914
20240104,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,106000,5.0,kg,100.0,g,N,20240119065906
20240105,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,106000,5.0,kg,100.0,g,N,20240120065927
20240108,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,106000,5.0,kg,100.0,g,N,20240123065913
20240109,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,106000,5.0,kg,100.0,g,N,20240124065912
20240110,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,106000,5.0,kg,100.0,g,N,20240125065917
20240111,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,106000,5.0,kg,100.0,g,N,20240126065910
20240115,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,103000,5.0,kg,100.0,g,N,20240130065928
20240116,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,98300,5.0,kg,100.0,g,N,20240131065939
20240117,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,98300,5.0,kg,100.0,g,N,20240201065942
20240118,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,98300,5.0,kg,100.0,g,N,20240202065931
20240119,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,98300,5.0,kg,100.0,g,N,20240203065943
20240122,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,98300,5.0,kg,100.0,g,N,20240206065935
20240123,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,98300,5.0,kg,100.0,g,N,20240207065925
20240124,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,98300,5.0,kg,100.0,g,N,20240208065918
20240125,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,98300,5.0,kg,100.0,g,N,20240209065927
20240126,467,240123,서부도매,24,광주,2401,광주,425,체리,0,수입,2,도매,4,상품,98300,5.0,kg,100.0,g,N,20240210065928
