PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240102062408
20231204,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240102062408
20231205,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240102062408
20231205,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240102062408
20231206,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240102062408
20231206,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240102062408
20231207,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240102062408
20231207,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240102062408
20231208,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240102062408
20231208,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240102062408
20231211,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240102062408
20231211,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240102062408
20231212,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240102062408
20231212,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240102062408
20231213,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240102062408
20231213,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240102062408
20231214,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240102062408
20231214,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240102062408
20231215,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240102062408
20231215,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240102062408
20231218,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240102062408
20231218,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240102062408
20231219,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240103065948
20231219,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240103065948
20231220,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240104065906
20231220,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240104065906
20231221,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240105065912
20231221,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240105065912
20231222,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240106065856
20231222,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240106065856
20231226,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240110065931
20231226,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240110065931
20231227,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240111065935
20231227,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240111065935
20231228,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240112065929
20231228,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240112065929
20231229,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240113065914
20231229,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240113065914
20240102,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240117065900
20240102,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240117065900
20240103,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240118065914
20240103,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240118065914
20240104,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240119065906
20240104,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240119065906
20240105,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240120065927
20240105,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240120065927
20240108,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240123065913
20240108,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240123065913
20240109,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240124065912
20240109,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240124065912
20240110,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240125065917
20240110,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240125065917
20240111,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240126065910
20240111,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240126065910
20240115,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240130065928
20240115,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240130065928
20240116,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240131065939
20240116,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240131065939
20240117,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240201065942
20240117,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240201065942
20240118,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240202065931
20240118,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240202065931
20240119,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240203065943
20240119,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240203065943
20240122,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240206065935
20240122,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240206065935
20240123,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240207065925
20240123,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240207065925
20240124,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240208065918
20240124,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240208065918
20240125,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240209065927
20240125,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240209065927
20240126,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240210065928
20240126,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240210065928
20240129,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240213065937
20240129,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240213065937
20240130,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240214065934
20240130,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240214065934
20240131,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240215065950
20240131,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240215065950
20240201,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240216065942
20240201,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240216065942
20240202,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240217065957
20240202,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240217065957
20240205,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240220065942
20240205,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240220065942
20240206,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240221112510
20240206,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240221112510
20240207,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240222065940
20240207,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240222065940
20240208,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240223065943
20240208,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240223065943
20240213,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240228065936
20240213,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240228065936
20240214,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240229065935
20240214,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240229065935
20240215,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240301070020
20240215,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240301070020
20240216,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240302065953
20240216,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240302065953
20240219,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240305065952
20240219,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240305065952
20240220,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240306065941
20240220,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240306065941
20240221,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240307065956
20240221,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240307065956
20240222,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240308065948
20240222,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240308065948
20240223,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240309065947
20240223,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240309065947
20240226,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240312070022
20240226,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240312070022
20240227,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240313065944
20240227,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240313065944
20240228,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240314065945
20240228,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240314065945
20240229,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240318011344
20240229,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240318011344
20240304,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240319070511
20240304,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240319070511
20240305,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240320070501
20240305,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240320070501
20240306,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240321070453
20240306,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240321070453
20240307,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240322070436
20240307,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240322070436
20240308,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240323070536
20240308,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240323070536
20240311,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240326070457
20240311,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240326070457
20240312,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240327070513
20240312,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240327070513
20240313,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240328070517
20240313,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240328070517
20240314,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240329070517
20240314,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240329070517
20240315,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240330070516
20240315,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240330070516
20240318,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240402070508
20240318,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240402070508
20240319,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240403070538
20240319,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240403070538
20240320,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240404070521
20240320,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240404070521
20240321,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240405070503
20240321,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240405070503
20240322,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240406070524
20240322,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240406070524
20240325,17,240121,양동,24,광주,2401,광주,143,녹두,0,국산,2,도매,4,상품,485000,40.0,kg,500.0,g,N,20240409070549
20240325,70,240121,양동,24,광주,2401,광주,143,녹두,0,국산,1,소매,4,상품,9070,40.0,kg,500.0,g,N,20240409070549
