PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,63,220403,A-유통,22,대구,2200,대구,412,배,1,신고,1,소매,4,상품,37470,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231205,63,220403,A-유통,22,대구,2200,대구,412,배,1,신고,1,소매,4,상품,37470,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231206,63,220403,A-유통,22,대구,2200,대구,412,배,1,신고,1,소매,4,상품,37470,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231207,63,220403,A-유통,22,대구,2200,대구,412,배,1,신고,1,소매,4,상품,42470,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231208,63,220403,A-유통,22,대구,2200,대구,412,배,1,신고,1,소매,4,상품,42470,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231211,63,220403,A-유통,22,대구,2200,대구,412,배,1,신고,1,소매,4,상품,42470,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231212,63,220403,A-유통,22,대구,2200,대구,412,배,1,신고,1,소매,4,상품,42470,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231213,63,220403,A-유통,22,대구,2200,대구,412,배,1,신고,1,소매,4,상품,42470,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231214,63,220403,A-유통,22,대구,2200,대구,412,배,1,신고,1,소매,4,상품,44970,15,kg,15.0,kg,10.0,개,10.0,개,N,20240102062408
20231215,63,220403,A-유통,22,대구,2200,대구,412,배,1,신고,1,소매,4,상품,44970,15,kg,15.0,kg,10.0,개,10.0,개,N,20240102062408
20231218,63,220403,A-유통,22,대구,2200,대구,412,배,1,신고,1,소매,4,상품,44970,15,kg,15.0,kg,10.0,개,10.0,개,N,20240102062408
20231219,63,220403,A-유통,22,대구,2200,대구,412,배,1,신고,1,소매,4,상품,44970,15,kg,15.0,kg,10.0,개,10.0,개,N,20240103065948
20231220,63,220403,A-유통,22,대구,2200,대구,412,배,1,신고,1,소매,4,상품,44970,15,kg,15.0,kg,10.0,개,10.0,개,N,20240104065906
20240104,63,220403,A-유통,22,대구,2200,대구,412,배,1,신고,1,소매,4,상품,42470,15,kg,15.0,kg,10.0,개,10.0,개,N,20240119065906
20240105,63,220403,A-유통,22,대구,2200,대구,412,배,1,신고,1,소매,4,상품,33970,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240120065927
20240108,63,220403,A-유통,22,대구,2200,대구,412,배,1,신고,1,소매,4,상품,33970,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240123065913
20240109,63,220403,A-유통,22,대구,2200,대구,412,배,1,신고,1,소매,4,상품,33970,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240124065912
20240110,63,220403,A-유통,22,대구,2200,대구,412,배,1,신고,1,소매,4,상품,33970,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240125065917
20240118,63,220403,A-유통,22,대구,2200,대구,412,배,1,신고,1,소매,4,상품,33220,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240202065931
