PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240102,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,18990,1.0,개,1.0,개,N,20240117065900
20240103,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,18990,1.0,개,1.0,개,N,20240118065914
20240206,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,31990,1.0,개,1.0,개,N,20240221112510
20240207,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,31990,1.0,개,1.0,개,N,20240222065940
20240208,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,31990,1.0,개,1.0,개,N,20240223065943
20240213,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,31990,1.0,개,1.0,개,N,20240228065936
20240214,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,31990,1.0,개,1.0,개,N,20240229065935
20240502,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,28990,1.0,개,1.0,개,N,20240517070526
20240503,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,28990,1.0,개,1.0,개,N,20240518070528
20240507,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,28990,1.0,개,1.0,개,N,20240522070536
20240508,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,28990,1.0,개,1.0,개,N,20240523070554
20240509,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,21690,1.0,개,1.0,개,N,20240524070546
20240510,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,21690,1.0,개,1.0,개,N,20240525070546
20240513,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,21600,1.0,개,1.0,개,N,20240528070601
20240514,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,21600,1.0,개,1.0,개,N,20240529070534
20240516,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,21600,1.0,개,1.0,개,N,20240531070600
20240523,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240607070559
20240524,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240608070554
20240527,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240611070557
20240528,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240612070550
20240529,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240613070605
20240530,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240614070543
20240531,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,26900,1.0,개,1.0,개,N,20240615070558
20240604,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,28900,1.0,개,1.0,개,N,20240619070544
20240607,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240622070550
20240610,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20240625072132
20240611,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,24900,1.0,개,1.0,개,N,20240626070553
20240612,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,24900,1.0,개,1.0,개,N,20240627070548
20240613,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240628070549
20240614,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,20900,1.0,개,1.0,개,N,20240629070612
20240617,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,20900,1.0,개,1.0,개,N,20240702070604
20240618,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,20900,1.0,개,1.0,개,N,20240703070603
20240619,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,20900,1.0,개,1.0,개,N,20240704070555
20240626,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240711070550
20240709,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,20900,1.0,개,1.0,개,N,20240724070649
20240710,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,20900,1.0,개,1.0,개,N,20240725070606
20240816,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,37900,1.0,개,1.0,개,N,20240902123055
20240823,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,34900,1.0,개,1.0,개,N,20240909011534
20240826,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,34900,1.0,개,1.0,개,N,20240910110037
20240827,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,34900,1.0,개,1.0,개,N,20240911120047
20240828,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,34900,1.0,개,1.0,개,N,20240912110028
20240829,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,37900,1.0,개,1.0,개,N,20240913110049
20240830,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,37900,1.0,개,1.0,개,N,20240919103028
20240902,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,37900,1.0,개,1.0,개,N,20240919073113
20240903,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,37900,1.0,개,1.0,개,N,20240919100018
20240904,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,37900,1.0,개,1.0,개,N,20240920121525
20240905,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,34900,1.0,개,1.0,개,N,20240920110108
20240906,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,34900,1.0,개,1.0,개,N,20240924020040
20240909,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,34900,1.0,개,1.0,개,N,20240924110028
20240910,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,34900,1.0,개,1.0,개,N,20240925110046
20240911,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,34900,1.0,개,1.0,개,N,20240926120046
20250131,63,220403,A-유통,22,대구,2200,대구,221,수박,0,수박,1,소매,4,상품,27900,1.0,개,1.0,개,N,20250217013122
