PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240118,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,1980,1,kg,10.0,kg,100.0,g,N,20240202065931
20240119,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,1980,1,kg,10.0,kg,100.0,g,N,20240203065943
20240122,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,1980,1,kg,10.0,kg,100.0,g,N,20240206065935
20240123,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,1980,1,kg,10.0,kg,100.0,g,N,20240207065925
20240124,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,1980,1,kg,10.0,kg,100.0,g,N,20240208065918
20240125,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,1980,1,kg,10.0,kg,100.0,g,N,20240209065927
20240126,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,1980,1,kg,10.0,kg,100.0,g,N,20240210065928
20240129,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,1980,1,kg,10.0,kg,100.0,g,N,20240213065937
20240130,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,1980,1,kg,10.0,kg,100.0,g,N,20240214065934
20240131,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,1980,1,kg,10.0,kg,100.0,g,N,20240215065950
20240201,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,2320,1,kg,10.0,kg,100.0,g,N,20240216065942
20240202,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,2320,1,kg,10.0,kg,100.0,g,N,20240217065957
20240205,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,2320,1,kg,10.0,kg,100.0,g,N,20240220065942
20240206,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,2320,1,kg,10.0,kg,100.0,g,N,20240221112510
20240207,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,2320,1,kg,10.0,kg,100.0,g,N,20240222065940
20240208,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,2320,1,kg,10.0,kg,100.0,g,N,20240223065943
20240213,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,2320,1,kg,10.0,kg,100.0,g,N,20240228065936
20240214,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,2320,1,kg,10.0,kg,100.0,g,N,20240229065935
20240215,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,2320,1,kg,10.0,kg,100.0,g,N,20240301070020
20240216,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,2320,1,kg,10.0,kg,100.0,g,N,20240302065953
20240219,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,2320,1,kg,10.0,kg,100.0,g,N,20240305065952
20240220,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,2320,1,kg,10.0,kg,100.0,g,N,20240306065941
20240221,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,2320,1,kg,10.0,kg,100.0,g,N,20240307065956
20240222,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,2320,1,kg,10.0,kg,100.0,g,N,20240308065948
20240223,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,2320,1,kg,10.0,kg,100.0,g,N,20240309065947
20240226,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,2320,1,kg,10.0,kg,100.0,g,N,20240312070022
20240227,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,2320,1,kg,10.0,kg,100.0,g,N,20240313065944
20240718,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3730,1,kg,10.0,kg,100.0,g,N,20240802120654
20240719,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3730,1,kg,10.0,kg,100.0,g,N,20240805014641
20240722,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3730,1,kg,10.0,kg,100.0,g,N,20240806060616
20240723,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3730,1,kg,10.0,kg,100.0,g,N,20240807110629
20240724,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3730,1,kg,10.0,kg,100.0,g,N,20240808120630
20240725,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240809120625
20240726,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240812014658
20240729,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240813120632
20240730,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240814120651
20240731,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240816010622
20240801,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240816104621
20240802,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240820011634
20240805,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240820104627
20240806,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240821114630
20240807,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240822104626
20240808,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240823104625
20240809,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240826010152
20240812,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240827104705
20240813,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240828114654
20240814,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240829104636
20240816,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240902123055
20240819,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240903104602
20240820,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240904024615
20240821,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240905120057
20240822,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240906110101
20240823,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240909011534
20240826,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240910110037
20240827,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240911120047
20240828,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240912110028
20240829,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240913110049
20240830,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240919103028
20240902,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240919073113
20240903,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240919100018
20240904,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3230,1,kg,10.0,kg,100.0,g,N,20240920121525
20240905,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,2660,1,kg,10.0,kg,100.0,g,N,20240920110108
20240906,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,2660,1,kg,10.0,kg,100.0,g,N,20240924020040
20240909,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,2660,1,kg,10.0,kg,100.0,g,N,20240924110028
20240910,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,2660,1,kg,10.0,kg,100.0,g,N,20240925110046
20240911,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,2660,1,kg,10.0,kg,100.0,g,N,20240926120046
20240912,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3320,1,kg,10.0,kg,100.0,g,N,20240927120023
20240913,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3320,1,kg,10.0,kg,100.0,g,N,20240930011540
20240919,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3320,1,kg,10.0,kg,100.0,g,N,20241004110042
20240920,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3320,1,kg,10.0,kg,100.0,g,N,20241007011552
20240923,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3320,1,kg,10.0,kg,100.0,g,N,20241008120111
20240924,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3320,1,kg,10.0,kg,100.0,g,N,20241010011535
20240925,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,3320,1,kg,10.0,kg,100.0,g,N,20241010110045
20241021,767,220404,E-유통,22,대구,2200,대구,243,붉은고추,0,붉은고추,1,소매,4,상품,4980,1,kg,10.0,kg,100.0,g,N,20241105110052
