PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,767,220404,E-유통,22,대구,2200,대구,246,파,0,대파,1,소매,4,상품,3880,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231204,767,220404,E-유통,22,대구,2200,대구,246,파,2,쪽파,1,소매,4,상품,9980,1.0,kg,1.0,kg,1.0,kg,N,20240102062408
20231205,767,220404,E-유통,22,대구,2200,대구,246,파,2,쪽파,1,소매,4,상품,9980,1.0,kg,1.0,kg,1.0,kg,N,20240102062408
20231205,767,220404,E-유통,22,대구,2200,대구,246,파,0,대파,1,소매,4,상품,3880,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231206,767,220404,E-유통,22,대구,2200,대구,246,파,0,대파,1,소매,4,상품,3880,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231206,767,220404,E-유통,22,대구,2200,대구,246,파,2,쪽파,1,소매,4,상품,9980,1.0,kg,1.0,kg,1.0,kg,N,20240102062408
20231207,767,220404,E-유통,22,대구,2200,대구,246,파,0,대파,1,소매,4,상품,3880,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231207,767,220404,E-유통,22,대구,2200,대구,246,파,2,쪽파,1,소매,4,상품,9920,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231208,767,220404,E-유통,22,대구,2200,대구,246,파,0,대파,1,소매,4,상품,3880,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231208,767,220404,E-유통,22,대구,2200,대구,246,파,2,쪽파,1,소매,4,상품,9920,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231211,767,220404,E-유통,22,대구,2200,대구,246,파,0,대파,1,소매,4,상품,3880,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231211,767,220404,E-유통,22,대구,2200,대구,246,파,2,쪽파,1,소매,4,상품,9920,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231212,767,220404,E-유통,22,대구,2200,대구,246,파,0,대파,1,소매,4,상품,3880,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231212,767,220404,E-유통,22,대구,2200,대구,246,파,2,쪽파,1,소매,4,상품,9920,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231213,767,220404,E-유통,22,대구,2200,대구,246,파,0,대파,1,소매,4,상품,3880,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231213,767,220404,E-유통,22,대구,2200,대구,246,파,2,쪽파,1,소매,4,상품,9920,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231214,767,220404,E-유통,22,대구,2200,대구,246,파,2,쪽파,1,소매,4,상품,11120,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231214,767,220404,E-유통,22,대구,2200,대구,246,파,0,대파,1,소매,4,상품,3880,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
20231215,767,220404,E-유통,22,대구,2200,대구,246,파,0,대파,1,소매,4,상품,3880,1.0,kg,1.0,kg,1.0,kg,Y,20240102062408
