PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240711,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,23000,15,kg,4.0,kg,10.0,개,N,20240726070603
20240712,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,23000,15,kg,4.0,kg,10.0,개,N,20240730040122
20240715,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,22000,15,kg,4.0,kg,10.0,개,N,20240730080622
20240716,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,22000,15,kg,4.0,kg,10.0,개,N,20240731120707
20240717,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,22000,15,kg,4.0,kg,10.0,개,N,20240801120632
20240718,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,22000,15,kg,4.0,kg,10.0,개,N,20240802120654
20240719,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,21000,15,kg,4.0,kg,10.0,개,N,20240805014641
20240722,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,20000,15,kg,4.0,kg,10.0,개,N,20240806060616
20240723,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,20000,15,kg,4.0,kg,10.0,개,N,20240807110629
20240724,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,20000,15,kg,4.0,kg,10.0,개,N,20240808120630
20240725,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,20000,15,kg,4.0,kg,10.0,개,N,20240809120625
20240726,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,20000,15,kg,4.0,kg,10.0,개,N,20240812014658
20240729,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,20000,15,kg,4.0,kg,10.0,개,N,20240813120632
20240730,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,20000,15,kg,4.0,kg,10.0,개,N,20240814120651
20240731,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,20000,15,kg,4.0,kg,10.0,개,N,20240816010622
20240801,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,20000,15,kg,4.0,kg,10.0,개,N,20240816104621
20240802,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,20000,15,kg,4.0,kg,10.0,개,N,20240820011634
20240805,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,20000,15,kg,4.0,kg,10.0,개,N,20240820104627
20240806,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,19000,15,kg,4.0,kg,10.0,개,N,20240821114630
20240807,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,19000,15,kg,4.0,kg,10.0,개,N,20240822104626
20240808,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,21000,15,kg,4.0,kg,10.0,개,N,20240823104625
20240809,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,22000,15,kg,4.0,kg,10.0,개,N,20240826010152
20240812,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,21000,15,kg,4.0,kg,10.0,개,N,20240827104705
20240813,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,21000,15,kg,4.0,kg,10.0,개,N,20240828114654
20240814,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,20000,15,kg,4.0,kg,10.0,개,N,20240829104636
20240816,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,20000,15,kg,4.0,kg,10.0,개,N,20240902123055
20240819,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,22000,15,kg,4.0,kg,10.0,개,N,20240903104602
20240820,11,220021,북부도매,22,대구,2200,대구,413,복숭아,1,백도,2,도매,4,상품,22000,15,kg,4.0,kg,10.0,개,N,20240904024615
