PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240315,11,220021,북부도매,22,대구,2200,대구,222,참외,0,참외,2,도매,4,상품,94000,10.0,kg,10.0,개,10.0,개,N,20240330070516
20240318,11,220021,북부도매,22,대구,2200,대구,222,참외,0,참외,2,도매,4,상품,94000,10.0,kg,10.0,개,10.0,개,N,20240402070508
20240319,11,220021,북부도매,22,대구,2200,대구,222,참외,0,참외,2,도매,4,상품,94000,10.0,kg,10.0,개,10.0,개,N,20240403070538
20240320,11,220021,북부도매,22,대구,2200,대구,222,참외,0,참외,2,도매,4,상품,94000,10.0,kg,10.0,개,10.0,개,N,20240404070521
20240321,11,220021,북부도매,22,대구,2200,대구,222,참외,0,참외,2,도매,4,상품,91000,10.0,kg,10.0,개,10.0,개,N,20240405070503
20240322,11,220021,북부도매,22,대구,2200,대구,222,참외,0,참외,2,도매,4,상품,91000,10.0,kg,10.0,개,10.0,개,N,20240406070524
20240325,11,220021,북부도매,22,대구,2200,대구,222,참외,0,참외,2,도매,4,상품,91000,10.0,kg,10.0,개,10.0,개,N,20240409070549
20240326,11,220021,북부도매,22,대구,2200,대구,222,참외,0,참외,2,도매,4,상품,95000,10.0,kg,10.0,개,10.0,개,N,20240410070524
20240327,11,220021,북부도매,22,대구,2200,대구,222,참외,0,참외,2,도매,4,상품,98000,10.0,kg,10.0,개,10.0,개,N,20240411070522
20240328,11,220021,북부도매,22,대구,2200,대구,222,참외,0,참외,2,도매,4,상품,98000,10.0,kg,10.0,개,10.0,개,N,20240412070542
20240329,11,220021,북부도매,22,대구,2200,대구,222,참외,0,참외,2,도매,4,상품,99000,10.0,kg,10.0,개,10.0,개,N,20240413070523
20240401,11,220021,북부도매,22,대구,2200,대구,222,참외,0,참외,2,도매,4,상품,101000,10.0,kg,10.0,개,10.0,개,N,20240416070514
20240402,11,220021,북부도매,22,대구,2200,대구,222,참외,0,참외,2,도매,4,상품,101000,10.0,kg,10.0,개,10.0,개,N,20240417070513
20240403,11,220021,북부도매,22,대구,2200,대구,222,참외,0,참외,2,도매,4,상품,101000,10.0,kg,10.0,개,10.0,개,N,20240418070530
20240404,11,220021,북부도매,22,대구,2200,대구,222,참외,0,참외,2,도매,4,상품,98000,10.0,kg,10.0,개,10.0,개,N,20240419070512
20240405,11,220021,북부도매,22,대구,2200,대구,222,참외,0,참외,2,도매,4,상품,95000,10.0,kg,10.0,개,10.0,개,N,20240420070512
20240408,11,220021,북부도매,22,대구,2200,대구,222,참외,0,참외,2,도매,4,상품,93000,10.0,kg,10.0,개,10.0,개,N,20240423070541
20240409,11,220021,북부도매,22,대구,2200,대구,222,참외,0,참외,2,도매,4,상품,93000,10.0,kg,10.0,개,10.0,개,N,20240424070521
20240411,11,220021,북부도매,22,대구,2200,대구,222,참외,0,참외,2,도매,4,상품,91000,10.0,kg,10.0,개,10.0,개,N,20240426070525
20240412,11,220021,북부도매,22,대구,2200,대구,222,참외,0,참외,2,도매,4,상품,91000,10.0,kg,10.0,개,10.0,개,N,20240427070548
20240415,11,220021,북부도매,22,대구,2200,대구,222,참외,0,참외,2,도매,4,상품,95000,10.0,kg,10.0,개,10.0,개,N,20240430070532
