PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4330,1.0,kg,N,20240102062408
20231205,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4330,1.0,kg,N,20240102062408
20231206,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4330,1.0,kg,N,20240102062408
20231207,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4330,1.0,kg,N,20240102062408
20231208,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4330,1.0,kg,N,20240102062408
20231211,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4330,1.0,kg,N,20240102062408
20231212,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4330,1.0,kg,N,20240102062408
20231213,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4330,1.0,kg,N,20240102062408
20231214,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4330,1.0,kg,N,20240102062408
20231215,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4330,1.0,kg,N,20240102062408
20231218,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4330,1.0,kg,N,20240102062408
20231219,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4330,1.0,kg,N,20240103065948
20231220,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4330,1.0,kg,N,20240104065906
20231221,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4330,1.0,kg,N,20240105065912
20231222,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,5000,1.0,kg,N,20240106065856
20231226,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,5330,1.0,kg,N,20240110065931
20231227,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,5330,1.0,kg,N,20240111065935
20231228,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,5330,1.0,kg,N,20240112065929
20231229,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,5330,1.0,kg,N,20240113065914
20240102,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,5330,1.0,kg,N,20240117065900
20240103,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,5330,1.0,kg,N,20240118065914
20241031,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4000,1.0,kg,N,20241115104625
20241101,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4000,1.0,kg,N,20241118015923
20241104,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4000,1.0,kg,N,20241119111557
20241105,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4000,1.0,kg,N,20241120111630
20241106,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4000,1.0,kg,N,20241121111556
20241107,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4000,1.0,kg,N,20241122111543
20241108,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4000,1.0,kg,N,20241125020105
20241111,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4000,1.0,kg,N,20241126111557
20241112,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,5000,1.0,kg,N,20241127111600
20241113,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4330,1.0,kg,N,20241128111608
20241114,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4330,1.0,kg,N,20241129121603
20241115,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4330,1.0,kg,N,20241202123051
20241118,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4330,1.0,kg,N,20241203114550
20241119,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4330,1.0,kg,N,20241204124556
20241120,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4330,1.0,kg,N,20241205114603
20241121,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4330,1.0,kg,N,20241209063105
20241122,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4330,1.0,kg,N,20241209034714
20241125,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,4330,1.0,kg,N,20241210024617
20241126,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,5000,1.0,kg,N,20241211124610
20241127,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,6660,1.0,kg,N,20241212114550
20241128,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,6660,1.0,kg,N,20241213104553
20241129,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,6660,1.0,kg,N,20241216123040
20241202,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,6330,1.0,kg,N,20241217111607
20241203,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,6660,1.0,kg,N,20241218121554
20241204,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,6660,1.0,kg,N,20241219114626
20241205,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,6660,1.0,kg,N,20241224020109
20241209,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,6660,1.0,kg,N,20241224111605
20241210,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,6660,1.0,kg,N,20241226013055
20241211,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,6660,1.0,kg,N,20241226111605
20241212,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,6660,1.0,kg,N,20241227111549
20241213,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,6660,1.0,kg,N,20241230030114
20241216,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,6660,1.0,kg,N,20241231114609
20241217,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,6660,1.0,kg,N,20250102054558
20241218,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,6330,1.0,kg,N,20250102104639
20241219,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,6330,1.0,kg,N,20250107010100
20241220,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,6330,1.0,kg,N,20250106041607
20241223,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,6330,1.0,kg,N,20250107110049
20241224,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,6330,1.0,kg,N,20250108110121
20241226,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,7000,1.0,kg,N,20250110110104
20241227,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,7000,1.0,kg,N,20250113054627
20241230,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,7000,1.0,kg,N,20250114110112
20241231,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,7000,1.0,kg,N,20250115110112
20250102,607,220024,磨己,22,措备,2200,措备,216,矮,0,矮,1,家概,4,惑前,7000,1.0,kg,N,20250117103113
