PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,84,250403,A-유통,25,대전,2501,대전,652,굵은소금,0,굵은소금,1,소매,4,상품,19500,5.0,kg,N,20240102062408
20231205,84,250403,A-유통,25,대전,2501,대전,652,굵은소금,0,굵은소금,1,소매,4,상품,12000,5.0,kg,Y,20240102062408
20231206,84,250403,A-유통,25,대전,2501,대전,652,굵은소금,0,굵은소금,1,소매,4,상품,12000,5.0,kg,Y,20240102062408
20231207,84,250403,A-유통,25,대전,2501,대전,652,굵은소금,0,굵은소금,1,소매,4,상품,12000,5.0,kg,Y,20240102062408
20231208,84,250403,A-유통,25,대전,2501,대전,652,굵은소금,0,굵은소금,1,소매,4,상품,12000,5.0,kg,Y,20240102062408
20231211,84,250403,A-유통,25,대전,2501,대전,652,굵은소금,0,굵은소금,1,소매,4,상품,12000,5.0,kg,Y,20240102062408
20231212,84,250403,A-유통,25,대전,2501,대전,652,굵은소금,0,굵은소금,1,소매,4,상품,12000,5.0,kg,Y,20240102062408
20231213,84,250403,A-유통,25,대전,2501,대전,652,굵은소금,0,굵은소금,1,소매,4,상품,12000,5.0,kg,Y,20240102062408
20231214,84,250403,A-유통,25,대전,2501,대전,652,굵은소금,0,굵은소금,1,소매,4,상품,12000,5.0,kg,Y,20240102062408
20231215,84,250403,A-유통,25,대전,2501,대전,652,굵은소금,0,굵은소금,1,소매,4,상품,5000,5.0,kg,Y,20240102062408
20231218,84,250403,A-유통,25,대전,2501,대전,652,굵은소금,0,굵은소금,1,소매,4,상품,12000,5.0,kg,Y,20240102062408
20231219,84,250403,A-유통,25,대전,2501,대전,652,굵은소금,0,굵은소금,1,소매,4,상품,12000,5.0,kg,Y,20240103065948
20231220,84,250403,A-유통,25,대전,2501,대전,652,굵은소금,0,굵은소금,1,소매,4,상품,12000,5.0,kg,Y,20240104065906
20231221,84,250403,A-유통,25,대전,2501,대전,652,굵은소금,0,굵은소금,1,소매,4,상품,12000,5.0,kg,Y,20240105065912
20231222,84,250403,A-유통,25,대전,2501,대전,652,굵은소금,0,굵은소금,1,소매,4,상품,12000,5.0,kg,Y,20240106065856
20231226,84,250403,A-유통,25,대전,2501,대전,652,굵은소금,0,굵은소금,1,소매,4,상품,12000,5.0,kg,Y,20240110065931
20231227,84,250403,A-유통,25,대전,2501,대전,652,굵은소금,0,굵은소금,1,소매,4,상품,12000,5.0,kg,Y,20240111065935
20231228,84,250403,A-유통,25,대전,2501,대전,652,굵은소금,0,굵은소금,1,소매,4,상품,12000,5.0,kg,Y,20240112065929
20231229,84,250403,A-유통,25,대전,2501,대전,652,굵은소금,0,굵은소금,1,소매,4,상품,12000,5.0,kg,Y,20240113065914
20240102,84,250403,A-유통,25,대전,2501,대전,652,굵은소금,0,굵은소금,1,소매,4,상품,12000,5.0,kg,Y,20240117065900
