PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,6490,1.0,kg,N,20240102062408
20231205,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,6490,1.0,kg,N,20240102062408
20231206,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,6490,1.0,kg,N,20240102062408
20241107,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,2490,1.0,kg,Y,20241122111543
20241108,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,2490,1.0,kg,Y,20241125020105
20241111,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,2490,1.0,kg,Y,20241126111557
20241112,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,2490,1.0,kg,Y,20241127111600
20241113,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,2490,1.0,kg,Y,20241128111608
20241114,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241129121603
20241115,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241202123051
20241118,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241203114550
20241119,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241204124556
20241120,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241205114603
20241121,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,3520,1.0,kg,Y,20241209063105
20241122,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,3520,1.0,kg,Y,20241209034714
20241125,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,3520,1.0,kg,Y,20241210024617
20241126,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,3520,1.0,kg,Y,20241211124610
20241127,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,3520,1.0,kg,Y,20241212114550
20241128,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241213104553
20241129,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241216123040
20241202,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241217111607
20241203,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241218121554
20241204,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,2990,1.0,kg,Y,20241219114626
20241205,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,5540,1.0,kg,N,20241224020109
20241209,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,5540,1.0,kg,N,20241224111605
20241211,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,4990,1.0,kg,N,20241226111605
20241212,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,4990,1.0,kg,N,20241227111549
20241213,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,4990,1.0,kg,N,20241230030114
20241216,83,250402,E-유통,25,대전,2501,대전,216,갓,0,갓,1,소매,4,상품,4990,1.0,kg,N,20241231114609
