PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,83,250402,E-유통,25,대전,2501,대전,412,배,1,신고,1,소매,4,상품,34750,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231205,83,250402,E-유통,25,대전,2501,대전,412,배,1,신고,1,소매,4,상품,34750,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231206,83,250402,E-유통,25,대전,2501,대전,412,배,1,신고,1,소매,4,상품,34750,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231207,83,250402,E-유통,25,대전,2501,대전,412,배,1,신고,1,소매,4,상품,34750,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231208,83,250402,E-유통,25,대전,2501,대전,412,배,1,신고,1,소매,4,상품,34750,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231211,83,250402,E-유통,25,대전,2501,대전,412,배,1,신고,1,소매,4,상품,34750,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231212,83,250402,E-유통,25,대전,2501,대전,412,배,1,신고,1,소매,4,상품,34750,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231213,83,250402,E-유통,25,대전,2501,대전,412,배,1,신고,1,소매,4,상품,34750,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231214,83,250402,E-유통,25,대전,2501,대전,412,배,1,신고,1,소매,4,상품,34970,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231215,83,250402,E-유통,25,대전,2501,대전,412,배,1,신고,1,소매,4,상품,34970,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231218,83,250402,E-유통,25,대전,2501,대전,412,배,1,신고,1,소매,4,상품,34970,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240102062408
20231219,83,250402,E-유통,25,대전,2501,대전,412,배,1,신고,1,소매,4,상품,34970,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240103065948
20231220,83,250402,E-유통,25,대전,2501,대전,412,배,1,신고,1,소매,4,상품,34970,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240104065906
20231221,83,250402,E-유통,25,대전,2501,대전,412,배,1,신고,1,소매,4,상품,34970,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240105065912
20231222,83,250402,E-유통,25,대전,2501,대전,412,배,1,신고,1,소매,4,상품,34970,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240106065856
20231226,83,250402,E-유통,25,대전,2501,대전,412,배,1,신고,1,소매,4,상품,37060,15,kg,15.0,kg,10.0,개,10.0,개,Y,20240110065931
