PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240104,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240119065906
20240105,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240120065927
20240108,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240123065913
20240109,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240124065912
20240110,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240125065917
20240201,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240216065942
20240202,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240217065957
20240205,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240220065942
20240206,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240221112510
20240207,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240222065940
20240208,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240223065943
20240213,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240228065936
20240214,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240229065935
20240229,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,7990,12.0,kg,1.0,개,N,20240318011344
20240311,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240326070457
20240312,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240327070513
20240313,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240328070517
20240314,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240329070517
20240315,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240330070516
20240318,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240402070508
20240319,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240403070538
20240320,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240404070521
20240321,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240405070503
20240322,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240406070524
20240325,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240409070549
20240326,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240410070524
20240327,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,8990,12.0,kg,1.0,개,N,20240411070522
20240524,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240608070554
20240527,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240611070557
20240528,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240612070550
20240529,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240613070605
20240530,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240614070543
20240531,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,5990,12.0,kg,1.0,개,N,20240615070558
20240610,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240625072132
20240611,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240626070553
20240612,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240627070548
20240613,83,250402,E-유통,25,대전,2501,대전,420,파인애플,2,수입,1,소매,4,상품,6990,12.0,kg,1.0,개,N,20240628070549
