PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240711,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,26300,15,kg,4.0,kg,10.0,개,N,20240726070603
20240712,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,22000,15,kg,4.0,kg,10.0,개,N,20240730040122
20240715,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,19300,15,kg,4.0,kg,10.0,개,N,20240730080622
20240716,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,19300,15,kg,4.0,kg,10.0,개,N,20240731120707
20240717,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,22000,15,kg,4.0,kg,10.0,개,N,20240801120632
20240718,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,19000,15,kg,4.0,kg,10.0,개,N,20240802120654
20240719,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,16600,15,kg,4.0,kg,10.0,개,N,20240805014641
20240722,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,19300,15,kg,4.0,kg,10.0,개,N,20240806060616
20240723,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,22600,15,kg,4.0,kg,10.0,개,N,20240807110629
20240724,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,22600,15,kg,4.0,kg,10.0,개,N,20240808120630
20240725,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,22600,15,kg,4.0,kg,10.0,개,N,20240809120625
20240726,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,21000,15,kg,4.0,kg,10.0,개,N,20240812014658
20240729,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,20000,15,kg,4.0,kg,10.0,개,N,20240813120632
20240730,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,19300,15,kg,4.0,kg,10.0,개,N,20240814120651
20240731,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,20000,15,kg,4.0,kg,10.0,개,N,20240816010622
20240801,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,20000,15,kg,4.0,kg,10.0,개,N,20240816104621
20240802,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,20000,15,kg,4.0,kg,10.0,개,N,20240820011634
20240805,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,22600,15,kg,4.0,kg,10.0,개,N,20240820104627
20240806,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,22600,15,kg,4.0,kg,10.0,개,N,20240821114630
20240807,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,22600,15,kg,4.0,kg,10.0,개,N,20240822104626
20240808,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,22600,15,kg,4.0,kg,10.0,개,N,20240823104625
20240809,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,22600,15,kg,4.0,kg,10.0,개,N,20240826010152
20240812,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,25000,15,kg,4.0,kg,10.0,개,N,20240827104705
20240813,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,25300,15,kg,4.0,kg,10.0,개,N,20240828114654
20240814,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,26000,15,kg,4.0,kg,10.0,개,N,20240829104636
20240816,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,26000,15,kg,4.0,kg,10.0,개,N,20240902123055
20240819,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,24600,15,kg,4.0,kg,10.0,개,N,20240903104602
20240820,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,26000,15,kg,4.0,kg,10.0,개,N,20240904024615
20240821,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,24300,15,kg,4.0,kg,10.0,개,N,20240905120057
20240822,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,24300,15,kg,4.0,kg,10.0,개,N,20240906110101
20240823,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,24300,15,kg,4.0,kg,10.0,개,N,20240909011534
20240826,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,25000,15,kg,4.0,kg,10.0,개,N,20240910110037
20240827,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,27600,15,kg,4.0,kg,10.0,개,N,20240911120047
20240828,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,27600,15,kg,4.0,kg,10.0,개,N,20240912110028
20240829,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,26000,15,kg,4.0,kg,10.0,개,N,20240913110049
20240830,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,24000,15,kg,4.0,kg,10.0,개,N,20240919103028
20240902,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,28300,15,kg,4.0,kg,10.0,개,N,20240919073113
20240903,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,31600,15,kg,4.0,kg,10.0,개,N,20240919100018
20240904,22,250113,오정도매,25,대전,2501,대전,413,복숭아,1,백도,2,도매,4,상품,31000,15,kg,4.0,kg,10.0,개,N,20240920121525
