PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240207,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,85000,18.0,kg,10.0,개,N,20240222065940
20240208,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,86000,18.0,kg,10.0,개,N,20240223065943
20240213,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,86000,18.0,kg,10.0,개,N,20240228065936
20240214,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,85000,18.0,kg,10.0,개,N,20240229065935
20240215,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,86600,18.0,kg,10.0,개,N,20240301070020
20240216,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,88600,18.0,kg,10.0,개,N,20240302065953
20240219,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,87300,18.0,kg,10.0,개,N,20240305065952
20240220,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,87300,18.0,kg,10.0,개,N,20240306065941
20240221,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,87300,18.0,kg,10.0,개,N,20240307065956
20240222,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,85300,18.0,kg,10.0,개,N,20240308065948
20240223,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,86600,18.0,kg,10.0,개,N,20240309065947
20240226,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,87000,18.0,kg,10.0,개,N,20240312070022
20240227,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,87000,18.0,kg,10.0,개,N,20240313065944
20240228,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,87000,18.0,kg,10.0,개,N,20240314065945
20240229,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,87000,18.0,kg,10.0,개,N,20240318011344
20240304,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,79300,18.0,kg,10.0,개,N,20240319070511
20240305,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,78600,18.0,kg,10.0,개,N,20240320070501
20240306,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,79300,18.0,kg,10.0,개,N,20240321070453
20240307,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,78600,18.0,kg,10.0,개,N,20240322070436
20240308,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,77600,18.0,kg,10.0,개,N,20240323070536
20240311,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,78300,18.0,kg,10.0,개,N,20240326070457
20240312,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,78300,18.0,kg,10.0,개,N,20240327070513
20240313,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,78300,18.0,kg,10.0,개,N,20240328070517
20240314,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,76300,18.0,kg,10.0,개,N,20240329070517
20240315,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,74600,18.0,kg,10.0,개,N,20240330070516
20240318,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,74600,18.0,kg,10.0,개,N,20240402070508
20240319,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,75000,18.0,kg,10.0,개,N,20240403070538
20240320,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,74000,18.0,kg,10.0,개,N,20240404070521
20240321,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,74000,18.0,kg,10.0,개,N,20240405070503
20240322,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,75600,18.0,kg,10.0,개,N,20240406070524
20240325,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,75000,18.0,kg,10.0,개,N,20240409070549
20240326,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,75600,18.0,kg,10.0,개,N,20240410070524
20240327,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,75300,18.0,kg,10.0,개,N,20240411070522
20240328,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,76000,18.0,kg,10.0,개,N,20240412070542
20240329,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,69300,18.0,kg,10.0,개,N,20240413070523
20240401,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,69300,18.0,kg,10.0,개,N,20240416070514
20240402,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,71000,18.0,kg,10.0,개,N,20240417070513
20240403,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,70300,18.0,kg,10.0,개,N,20240418070530
20240404,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,71000,18.0,kg,10.0,개,N,20240419070512
20240405,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,70300,18.0,kg,10.0,개,N,20240420070512
20240408,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,70300,18.0,kg,10.0,개,N,20240423070541
20240409,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,70300,18.0,kg,10.0,개,N,20240424070521
20240411,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,68600,18.0,kg,10.0,개,N,20240426070525
20240412,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,69300,18.0,kg,10.0,개,N,20240427070548
20240415,22,250113,오정도매,25,대전,2501,대전,421,오렌지,3,네이블 미국,2,도매,4,상품,67600,18.0,kg,10.0,개,N,20240430070532
