PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241016,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,546000,40.0,kg,500.0,g,N,20241031020130
20241017,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,546000,40.0,kg,500.0,g,N,20241101110041
20241018,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,546000,40.0,kg,500.0,g,N,20241104024545
20241021,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,546000,40.0,kg,500.0,g,N,20241105110052
20241022,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,546000,40.0,kg,500.0,g,N,20241106030109
20241023,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,546000,40.0,kg,500.0,g,N,20241107110055
20241024,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,546000,40.0,kg,500.0,g,N,20241108110102
20241025,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,546000,40.0,kg,500.0,g,N,20241111090115
20241028,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,546000,40.0,kg,500.0,g,N,20241112110049
20241029,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,546000,40.0,kg,500.0,g,N,20241113110033
20241030,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,546000,40.0,kg,500.0,g,N,20241114120046
20241031,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,546000,40.0,kg,500.0,g,N,20241115104625
20241101,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,546000,40.0,kg,500.0,g,N,20241118015923
20241104,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,546000,40.0,kg,500.0,g,N,20241119111557
20241105,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,546000,40.0,kg,500.0,g,N,20241120111630
20241106,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,586000,40.0,kg,500.0,g,N,20241121111556
20241107,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,586000,40.0,kg,500.0,g,N,20241122111543
20241108,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,586000,40.0,kg,500.0,g,N,20241125020105
20241111,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,586000,40.0,kg,500.0,g,N,20241126111557
20241112,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,586000,40.0,kg,500.0,g,N,20241127111600
20241113,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,586000,40.0,kg,500.0,g,N,20241128111608
20241114,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,586000,40.0,kg,500.0,g,N,20241129121603
20241115,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,586000,40.0,kg,500.0,g,N,20241202123051
20241118,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,586000,40.0,kg,500.0,g,N,20241203114550
20241119,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,586000,40.0,kg,500.0,g,N,20241204124556
20241120,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,586000,40.0,kg,500.0,g,N,20241205114603
20241121,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,586000,40.0,kg,500.0,g,N,20241209063105
20241122,23,250114,인동,25,대전,2501,대전,143,녹두,0,국산,2,도매,4,상품,586000,40.0,kg,500.0,g,N,20241209034714
