PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231207,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,2990,2.0,kg,100.0,g,100.0,g,Y,20240102062408
20231208,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,2990,2.0,kg,100.0,g,100.0,g,Y,20240102062408
20231211,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,2990,2.0,kg,100.0,g,100.0,g,Y,20240102062408
20231212,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,2990,2.0,kg,100.0,g,100.0,g,Y,20240102062408
20231213,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,2990,2.0,kg,100.0,g,100.0,g,Y,20240102062408
20231214,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,1990,2.0,kg,100.0,g,100.0,g,Y,20240102062408
20231215,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,1990,2.0,kg,100.0,g,100.0,g,Y,20240102062408
20231218,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,3590,2.0,kg,100.0,g,100.0,g,N,20240102062408
20231219,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,1790,2.0,kg,100.0,g,100.0,g,Y,20240103065948
20231220,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,1790,2.0,kg,100.0,g,100.0,g,Y,20240104065906
20231221,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,2990,2.0,kg,100.0,g,100.0,g,N,20240105065912
20231222,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,2990,2.0,kg,100.0,g,100.0,g,N,20240106065856
20231226,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,2990,2.0,kg,100.0,g,100.0,g,N,20240110065931
20231227,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,2990,2.0,kg,100.0,g,100.0,g,N,20240111065935
20231228,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,3390,2.0,kg,100.0,g,100.0,g,N,20240112065929
20231229,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,3390,2.0,kg,100.0,g,100.0,g,N,20240113065914
20240102,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,3190,2.0,kg,100.0,g,100.0,g,N,20240117065900
20240103,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,3190,2.0,kg,100.0,g,100.0,g,N,20240118065914
20240104,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,3190,2.0,kg,100.0,g,100.0,g,N,20240119065906
20240105,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,3190,2.0,kg,100.0,g,100.0,g,N,20240120065927
20240108,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,2790,2.0,kg,100.0,g,100.0,g,Y,20240123065913
20240109,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,2790,2.0,kg,100.0,g,100.0,g,Y,20240124065912
20240110,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,2790,2.0,kg,100.0,g,100.0,g,Y,20240125065917
20240111,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,1590,2.0,kg,100.0,g,100.0,g,Y,20240126065910
20240115,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,1390,2.0,kg,100.0,g,100.0,g,Y,20240130065928
20240116,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,1390,2.0,kg,100.0,g,100.0,g,Y,20240131065939
20240117,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,1390,2.0,kg,100.0,g,100.0,g,Y,20240201065942
20240118,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,1790,2.0,kg,100.0,g,100.0,g,Y,20240202065931
20240119,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,1790,2.0,kg,100.0,g,100.0,g,Y,20240203065943
20240122,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,1995,2.0,kg,100.0,g,100.0,g,Y,20240206065935
20240123,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,1990,2.0,kg,100.0,g,100.0,g,Y,20240207065925
20240124,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,1990,2.0,kg,100.0,g,100.0,g,Y,20240208065918
20240125,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,2390,2.0,kg,100.0,g,100.0,g,Y,20240209065927
20240126,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,2390,2.0,kg,100.0,g,100.0,g,Y,20240210065928
20240129,52,210401,A-유통,21,부산,2100,부산,226,딸기,0,딸기,1,소매,4,상품,2390,2.0,kg,100.0,g,100.0,g,Y,20240213065937
