PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,52,210401,A-유통,21,부산,2100,부산,231,무,3,가을,1,소매,4,상품,1390,1,kg,20.0,kg,1.0,개,,,N,20240102062408
20231205,52,210401,A-유통,21,부산,2100,부산,231,무,3,가을,1,소매,4,상품,1390,1,kg,20.0,kg,1.0,개,,,N,20240102062408
20231206,52,210401,A-유통,21,부산,2100,부산,231,무,3,가을,1,소매,4,상품,1390,1,kg,20.0,kg,1.0,개,,,N,20240102062408
20231207,52,210401,A-유통,21,부산,2100,부산,231,무,3,가을,1,소매,4,상품,1490,1,kg,20.0,kg,1.0,개,,,Y,20240102062408
20231208,52,210401,A-유통,21,부산,2100,부산,231,무,3,가을,1,소매,4,상품,1490,1,kg,20.0,kg,1.0,개,,,Y,20240102062408
20231211,52,210401,A-유통,21,부산,2100,부산,231,무,3,가을,1,소매,4,상품,1490,1,kg,20.0,kg,1.0,개,,,Y,20240102062408
20231212,52,210401,A-유통,21,부산,2100,부산,231,무,3,가을,1,소매,4,상품,1490,1,kg,20.0,kg,1.0,개,,,Y,20240102062408
20231214,52,210401,A-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1490,1,kg,20.0,kg,1.0,개,,,Y,20240102062408
20240109,52,210401,A-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1790,1,kg,20.0,kg,1.0,개,,,Y,20240124065912
20240110,52,210401,A-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1790,1,kg,20.0,kg,1.0,개,,,Y,20240125065917
20240111,52,210401,A-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1250,1,kg,20.0,kg,1.0,개,,,Y,20240126065910
20240115,52,210401,A-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1250,1,kg,20.0,kg,1.0,개,,,Y,20240130065928
20240116,52,210401,A-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1250,1,kg,20.0,kg,1.0,개,,,Y,20240131065939
20240117,52,210401,A-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1250,1,kg,20.0,kg,1.0,개,,,Y,20240201065942
20240118,52,210401,A-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1040,1,kg,20.0,kg,1.0,개,,,Y,20240202065931
20240119,52,210401,A-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1040,1,kg,20.0,kg,1.0,개,,,Y,20240203065943
20240122,52,210401,A-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1250,1,kg,20.0,kg,1.0,개,,,Y,20240206065935
20240123,52,210401,A-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1250,1,kg,20.0,kg,1.0,개,,,Y,20240207065925
20240124,52,210401,A-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1250,1,kg,20.0,kg,1.0,개,,,Y,20240208065918
20240125,52,210401,A-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,980,1,kg,20.0,kg,1.0,개,,,Y,20240209065927
20240126,52,210401,A-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,980,1,kg,20.0,kg,1.0,개,,,Y,20240210065928
20240129,52,210401,A-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,980,1,kg,20.0,kg,1.0,개,,,Y,20240213065937
20240130,52,210401,A-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,980,1,kg,20.0,kg,1.0,개,,,Y,20240214065934
20240131,52,210401,A-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,980,1,kg,20.0,kg,1.0,개,,,Y,20240215065950
20240201,52,210401,A-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1390,1,kg,20.0,kg,1.0,개,,,Y,20240216065942
20240202,52,210401,A-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1390,1,kg,20.0,kg,1.0,개,,,Y,20240217065957
20240205,52,210401,A-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1390,1,kg,20.0,kg,1.0,개,,,Y,20240220065942
