PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241031,52,210401,A-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,49900,20.0,kg,N,20241115104625
20241101,52,210401,A-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,49900,20.0,kg,N,20241118015923
20241104,52,210401,A-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,54900,20.0,kg,N,20241119111557
20241105,52,210401,A-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,54900,20.0,kg,N,20241120111630
20241106,52,210401,A-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,54900,20.0,kg,N,20241121111556
20241107,52,210401,A-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,54900,20.0,kg,N,20241122111543
20241108,52,210401,A-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,54900,20.0,kg,N,20241125020105
20241111,52,210401,A-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,54900,20.0,kg,N,20241126111557
20241112,52,210401,A-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,54900,20.0,kg,N,20241127111600
20241113,52,210401,A-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,54900,20.0,kg,N,20241128111608
20241114,52,210401,A-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,59900,20.0,kg,N,20241129121603
20241115,52,210401,A-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,59900,20.0,kg,N,20241202123051
20241118,52,210401,A-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,59900,20.0,kg,N,20241203114550
20241119,52,210401,A-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,59900,20.0,kg,N,20241204124556
20241120,52,210401,A-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,59900,20.0,kg,N,20241205114603
20241121,52,210401,A-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,59900,20.0,kg,N,20241209063105
20241122,52,210401,A-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,59900,20.0,kg,N,20241209034714
20241125,52,210401,A-유통,21,부산,2100,부산,266,절임배추,3,가을,1,소매,4,상품,59900,20.0,kg,N,20241210024617
