PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,52,210401,A-유통,21,부산,2100,부산,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240102062408
20231205,52,210401,A-유통,21,부산,2100,부산,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240102062408
20231206,52,210401,A-유통,21,부산,2100,부산,419,참다래,2,그린 뉴질랜드,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240102062408
20231215,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240102062408
20231218,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240102062408
20231219,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240103065948
20231220,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240104065906
20231221,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,12990,10.0,kg,10.0,개,N,20240105065912
20231222,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,12990,10.0,kg,10.0,개,N,20240106065856
20231226,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,12990,10.0,kg,10.0,개,N,20240110065931
20231227,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,12990,10.0,kg,10.0,개,N,20240111065935
20231228,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240112065929
20231229,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240113065914
20240102,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240117065900
20240103,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240118065914
20240104,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240119065906
20240105,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240120065927
20240108,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240123065913
20240109,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240124065912
20240110,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240125065917
20240111,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240126065910
20240115,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240130065928
20240116,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240131065939
20240117,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240201065942
20240118,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240202065931
20240119,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240203065943
20240122,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240206065935
20240123,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240207065925
20240124,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240208065918
20240125,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240209065927
20240126,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240210065928
20240129,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240213065937
20240130,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240214065934
20240131,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240215065950
20240201,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240216065942
20240202,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240217065957
20240205,52,210401,A-유통,21,부산,2100,부산,419,참다래,1,국산,1,소매,4,상품,9990,10.0,kg,10.0,개,N,20240220065942
