PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240508,52,210401,A-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,36900,1.0,kg,100.0,g,N,20240523070554
20240508,52,210401,A-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,6500,1.0,kg,1.0,kg,N,20240523070554
20240509,52,210401,A-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,36900,1.0,kg,100.0,g,N,20240524070546
20240509,52,210401,A-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,6500,1.0,kg,1.0,kg,N,20240524070546
20240510,52,210401,A-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,3900,1.0,kg,1.0,kg,Y,20240525070546
20240510,52,210401,A-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,36900,1.0,kg,100.0,g,N,20240525070546
20240522,52,210401,A-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,3690,1.0,kg,100.0,g,N,20240606070544
20240523,52,210401,A-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,3690,1.0,kg,100.0,g,N,20240607070559
20240524,52,210401,A-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,3690,1.0,kg,100.0,g,N,20240608070554
20240527,52,210401,A-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,3690,1.0,kg,100.0,g,N,20240611070557
20240528,52,210401,A-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,3990,1.0,kg,1.0,kg,G,20240612070550
20240528,52,210401,A-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,3690,1.0,kg,100.0,g,N,20240612070550
20240529,52,210401,A-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,3990,1.0,kg,1.0,kg,G,20240613070605
20240529,52,210401,A-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,3690,1.0,kg,100.0,g,N,20240613070605
20240530,52,210401,A-蜡烹,21,何魂,2100,何魂,658,全钦,2,救瘪全钦(趁厘),1,家概,4,惑前,3990,1.0,kg,1.0,kg,G,20240614070543
20240530,52,210401,A-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,3690,1.0,kg,100.0,g,N,20240614070543
20240531,52,210401,A-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,3690,1.0,kg,100.0,g,N,20240615070558
20240603,52,210401,A-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,3690,1.0,kg,100.0,g,N,20240618070553
20240604,52,210401,A-蜡烹,21,何魂,2100,何魂,658,全钦,1,瘪全钦(趁厘),1,家概,4,惑前,3990,1.0,kg,100.0,g,N,20240619070544
