PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240119,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,16900,1.0,개,Y,20240203065943
20240122,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,16900,1.0,개,Y,20240206065935
20240123,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240207065925
20240124,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240208065918
20240125,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240209065927
20240126,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240210065928
20240129,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240213065937
20240130,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240214065934
20240131,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240215065950
20240201,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240216065942
20240202,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240217065957
20240205,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240220065942
20240206,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240221112510
20240207,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240222065940
20240208,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240223065943
20240213,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240228065936
20240214,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240229065935
20240215,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240301070020
20240216,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240302065953
20240219,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240305065952
20240220,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240306065941
20240221,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240307065956
20240222,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240308065948
20240223,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240309065947
20240226,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240312070022
20240227,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240313065944
20240228,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240314065945
20240229,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240318011344
20240304,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240319070511
20240305,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240320070501
20240306,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240321070453
20240307,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240322070436
20240308,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240323070536
20240311,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240326070457
20240312,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240327070513
20240313,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240328070517
20240314,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,16900,1.0,개,Y,20240329070517
20240315,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,16900,1.0,개,Y,20240330070516
20240318,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,16900,1.0,개,Y,20240402070508
20240319,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240403070538
20240320,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240404070521
20240321,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240405070503
20240322,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240406070524
20240325,53,210402,D-유통,21,부산,2100,부산,814,고추장,1,해찬들 우리쌀로만든 태양초고추장 1kg,1,소매,4,상품,18780,1.0,개,N,20240409070549
