PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,53,210402,D-유통,21,부산,2100,부산,416,단감,0,단감,1,소매,4,상품,13800,15,kg,10.0,kg,10.0,개,N,20240102062408
20231205,53,210402,D-유통,21,부산,2100,부산,416,단감,0,단감,1,소매,4,상품,13800,15,kg,10.0,kg,10.0,개,N,20240102062408
20231206,53,210402,D-유통,21,부산,2100,부산,416,단감,0,단감,1,소매,4,상품,13800,15,kg,10.0,kg,10.0,개,N,20240102062408
20231207,53,210402,D-유통,21,부산,2100,부산,416,단감,0,단감,1,소매,4,상품,13800,15,kg,10.0,kg,10.0,개,N,20240102062408
20240206,53,210402,D-유통,21,부산,2100,부산,416,단감,0,단감,1,소매,4,상품,19800,15,kg,10.0,kg,10.0,개,N,20240221112510
20240207,53,210402,D-유통,21,부산,2100,부산,416,단감,0,단감,1,소매,4,상품,19800,15,kg,10.0,kg,10.0,개,N,20240222065940
20240208,53,210402,D-유통,21,부산,2100,부산,416,단감,0,단감,1,소매,4,상품,19800,15,kg,10.0,kg,10.0,개,N,20240223065943
20240213,53,210402,D-유통,21,부산,2100,부산,416,단감,0,단감,1,소매,4,상품,19800,15,kg,10.0,kg,10.0,개,N,20240228065936
20240214,53,210402,D-유통,21,부산,2100,부산,416,단감,0,단감,1,소매,4,상품,15800,15,kg,10.0,kg,10.0,개,N,20240229065935
20240215,53,210402,D-유통,21,부산,2100,부산,416,단감,0,단감,1,소매,4,상품,15800,15,kg,10.0,kg,10.0,개,N,20240301070020
20240216,53,210402,D-유통,21,부산,2100,부산,416,단감,0,단감,1,소매,4,상품,15800,15,kg,10.0,kg,10.0,개,N,20240302065953
20240219,53,210402,D-유통,21,부산,2100,부산,416,단감,0,단감,1,소매,4,상품,15800,15,kg,10.0,kg,10.0,개,N,20240305065952
20240220,53,210402,D-유통,21,부산,2100,부산,416,단감,0,단감,1,소매,4,상품,15800,15,kg,10.0,kg,10.0,개,N,20240306065941
20240227,53,210402,D-유통,21,부산,2100,부산,416,단감,0,단감,1,소매,4,상품,17800,15,kg,10.0,kg,10.0,개,N,20240313065944
