PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,12900,8.0,kg,1.0,개,N,20240102062408
20231205,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,12900,8.0,kg,1.0,개,N,20240102062408
20231206,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,12900,8.0,kg,1.0,개,N,20240102062408
20231207,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,12900,8.0,kg,1.0,개,N,20240102062408
20231208,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,12900,8.0,kg,1.0,개,N,20240102062408
20231211,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,12900,8.0,kg,1.0,개,N,20240102062408
20231212,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,9900,8.0,kg,1.0,개,Y,20240102062408
20231213,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,9900,8.0,kg,1.0,개,Y,20240102062408
20231214,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,12900,8.0,kg,1.0,개,N,20240102062408
20231215,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,12900,8.0,kg,1.0,개,N,20240102062408
20231218,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,7990,8.0,kg,1.0,개,Y,20240102062408
20231219,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,7990,8.0,kg,1.0,개,Y,20240103065948
20231220,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,7990,8.0,kg,1.0,개,Y,20240104065906
20231221,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,7990,8.0,kg,1.0,개,Y,20240105065912
20231222,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,7990,8.0,kg,1.0,개,Y,20240106065856
20231226,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,N,20240110065931
20231227,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,N,20240111065935
20231228,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,N,20240112065929
20231229,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,N,20240113065914
20240102,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,N,20240117065900
20240220,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,19900,8.0,kg,1.0,개,N,20240306065941
20240221,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,19900,8.0,kg,1.0,개,N,20240307065956
20240222,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,19900,8.0,kg,1.0,개,N,20240308065948
20240223,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,19900,8.0,kg,1.0,개,N,20240309065947
20240226,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,19900,8.0,kg,1.0,개,N,20240312070022
20240227,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,19900,8.0,kg,1.0,개,N,20240313065944
20240228,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,19900,8.0,kg,1.0,개,N,20240314065945
20240229,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,19900,8.0,kg,1.0,개,N,20240318011344
20240305,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,17900,8.0,kg,1.0,개,N,20240320070501
20240306,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,17900,8.0,kg,1.0,개,N,20240321070453
20240307,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,17900,8.0,kg,1.0,개,N,20240322070436
20240405,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,18900,8.0,kg,1.0,개,N,20240420070512
20240408,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,18900,8.0,kg,1.0,개,N,20240423070541
20240409,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,18900,8.0,kg,1.0,개,N,20240424070521
20240411,53,210402,D-유통,21,부산,2100,부산,257,멜론,0,멜론,1,소매,4,상품,18900,8.0,kg,1.0,개,N,20240426070525
