PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,53,210402,D-유통,21,부산,2100,부산,231,무,3,가을,1,소매,4,상품,1290,1,kg,20.0,kg,1.0,개,,,Y,20240102062408
20231205,53,210402,D-유통,21,부산,2100,부산,231,무,3,가을,1,소매,4,상품,1290,1,kg,20.0,kg,1.0,개,,,Y,20240102062408
20231206,53,210402,D-유통,21,부산,2100,부산,231,무,3,가을,1,소매,4,상품,1290,1,kg,20.0,kg,1.0,개,,,Y,20240102062408
20231207,53,210402,D-유통,21,부산,2100,부산,231,무,3,가을,1,소매,4,상품,1490,1,kg,20.0,kg,1.0,개,,,N,20240102062408
20231208,53,210402,D-유통,21,부산,2100,부산,231,무,3,가을,1,소매,4,상품,1490,1,kg,20.0,kg,1.0,개,,,N,20240102062408
20231211,53,210402,D-유통,21,부산,2100,부산,231,무,3,가을,1,소매,4,상품,1490,1,kg,20.0,kg,1.0,개,,,N,20240102062408
20231212,53,210402,D-유통,21,부산,2100,부산,231,무,3,가을,1,소매,4,상품,1490,1,kg,20.0,kg,1.0,개,,,N,20240102062408
20231213,53,210402,D-유통,21,부산,2100,부산,231,무,3,가을,1,소매,4,상품,1490,1,kg,20.0,kg,1.0,개,,,N,20240102062408
20231214,53,210402,D-유통,21,부산,2100,부산,231,무,3,가을,1,소매,4,상품,1490,1,kg,20.0,kg,1.0,개,,,N,20240102062408
20231215,53,210402,D-유통,21,부산,2100,부산,231,무,3,가을,1,소매,4,상품,1490,1,kg,20.0,kg,1.0,개,,,N,20240102062408
20231218,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1490,1,kg,20.0,kg,1.0,개,,,N,20240102062408
20231219,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1490,1,kg,20.0,kg,1.0,개,,,N,20240103065948
20231220,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1490,1,kg,20.0,kg,1.0,개,,,N,20240104065906
20231221,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1900,1,kg,20.0,kg,1.0,개,,,N,20240105065912
20231222,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1900,1,kg,20.0,kg,1.0,개,,,N,20240106065856
20231226,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1900,1,kg,20.0,kg,1.0,개,,,N,20240110065931
20231227,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1900,1,kg,20.0,kg,1.0,개,,,N,20240111065935
20231228,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1900,1,kg,20.0,kg,1.0,개,,,N,20240112065929
20231229,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1900,1,kg,20.0,kg,1.0,개,,,N,20240113065914
20240102,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1900,1,kg,20.0,kg,1.0,개,,,N,20240117065900
20240123,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1000,1,kg,20.0,kg,1.0,개,,,Y,20240207065925
20240124,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1000,1,kg,20.0,kg,1.0,개,,,Y,20240208065918
20240125,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1000,1,kg,20.0,kg,1.0,개,,,Y,20240209065927
20240126,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1000,1,kg,20.0,kg,1.0,개,,,Y,20240210065928
20240129,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1000,1,kg,20.0,kg,1.0,개,,,Y,20240213065937
20240130,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1000,1,kg,20.0,kg,1.0,개,,,Y,20240214065934
20240131,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1000,1,kg,20.0,kg,1.0,개,,,Y,20240215065950
20240201,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1000,1,kg,20.0,kg,1.0,개,,,Y,20240216065942
20240205,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1050,1,kg,20.0,kg,1.0,개,,,Y,20240220065942
20240206,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1050,1,kg,20.0,kg,1.0,개,,,Y,20240221112510
20240207,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1050,1,kg,20.0,kg,1.0,개,,,Y,20240222065940
20240208,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1050,1,kg,20.0,kg,1.0,개,,,Y,20240223065943
20240213,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1900,1,kg,20.0,kg,1.0,개,,,Y,20240228065936
20240214,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1900,1,kg,20.0,kg,1.0,개,,,N,20240229065935
20240215,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1900,1,kg,20.0,kg,1.0,개,,,N,20240301070020
20240216,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1500,1,kg,20.0,kg,1.0,개,,,N,20240302065953
20240219,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1600,1,kg,20.0,kg,1.0,개,,,N,20240305065952
20240220,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1600,1,kg,20.0,kg,1.0,개,,,N,20240306065941
20240221,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1600,1,kg,20.0,kg,1.0,개,,,N,20240307065956
20240222,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1000,1,kg,20.0,kg,1.0,개,,,Y,20240308065948
20240223,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1000,1,kg,20.0,kg,1.0,개,,,Y,20240309065947
20240226,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1000,1,kg,20.0,kg,1.0,개,,,Y,20240312070022
20240227,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1000,1,kg,20.0,kg,1.0,개,,,Y,20240313065944
20240228,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1500,1,kg,20.0,kg,1.0,개,,,N,20240314065945
20240229,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1500,1,kg,20.0,kg,1.0,개,,,N,20240318011344
20240304,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1500,1,kg,20.0,kg,1.0,개,,,N,20240319070511
20240305,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1900,1,kg,20.0,kg,1.0,개,,,N,20240320070501
20240306,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1900,1,kg,20.0,kg,1.0,개,,,N,20240321070453
20240307,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1900,1,kg,20.0,kg,1.0,개,,,N,20240322070436
20240308,53,210402,D-유통,21,부산,2100,부산,231,무,6,월동,1,소매,4,상품,1900,1,kg,20.0,kg,1.0,개,,,N,20240323070536
