PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231221,53,210402,D-유통,21,부산,2100,부산,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240105065912
20231222,53,210402,D-유통,21,부산,2100,부산,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240106065856
20231226,53,210402,D-유통,21,부산,2100,부산,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240110065931
20231227,53,210402,D-유통,21,부산,2100,부산,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240111065935
20231228,53,210402,D-유통,21,부산,2100,부산,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240112065929
20231229,53,210402,D-유통,21,부산,2100,부산,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240113065914
20240102,53,210402,D-유통,21,부산,2100,부산,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240117065900
20240103,53,210402,D-유통,21,부산,2100,부산,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240118065914
20240104,53,210402,D-유통,21,부산,2100,부산,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240119065906
20240105,53,210402,D-유통,21,부산,2100,부산,221,수박,0,수박,1,소매,4,상품,23900,1.0,개,1.0,개,N,20240120065927
20240308,53,210402,D-유통,21,부산,2100,부산,221,수박,0,수박,1,소매,4,상품,39900,1.0,개,1.0,개,N,20240323070536
20240311,53,210402,D-유통,21,부산,2100,부산,221,수박,0,수박,1,소매,4,상품,39900,1.0,개,1.0,개,N,20240326070457
20240312,53,210402,D-유통,21,부산,2100,부산,221,수박,0,수박,1,소매,4,상품,39900,1.0,개,1.0,개,N,20240327070513
20240313,53,210402,D-유통,21,부산,2100,부산,221,수박,0,수박,1,소매,4,상품,39900,1.0,개,1.0,개,N,20240328070517
